,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
918,252781.0,6618,2008-05-23,1.0,0.0,5.0,2008-08-21 00:00:00,90,0,Ingeniero de Desarrollo de Sistemas y Procesos,Ingeniería,Automotriz ,"Ingeniero de Desarrollo de Sistemas y Procesos   
País : Chile  
Ciudad : Santiago  
   
-   
Descripción del cargo : Importante Compañía Norteamericana del rubro de las comunicaciones requiere un Ingeniero con experiencia en. Coordinar, supervisar, gestionar, modelizar, y mantener los procesos de las distintas áreas de la organización. Identificar posibilidades de mejora con los referentes de cada una de las áreas. Liderar proyectos de la Gerencia y con toda la organización que involucren desarrollo de aplicaciones, requerimientos etc. Analizar las necesidaes del negocio, crear funcionalidades y su factibilidad de llevarlas a cabo. 
Lograr que las áreas entiendan que el manejo de buenas prácticas y la aplicación de metodología de Calidad son tan de relevantes como cualquier otro proyecto de desarrollo de cualquier área dentro de la organización. Se valorará la experiencia en compañías TELCO",Jornada Completa,,Santiago,Universitaria,Indiferente,"-   
Conocimientos requeridos : Control de Calidad de procesos 
Evaluación de proyectos 
Planificación y Organización 
control físico de proyectos  
Idiomas Requeridos  : Español 
Inglés 

 
Profesión requerida : ING. CIVIL INFORMATICA 
ING. DE EJECUCIÓN EN COMPUTACIÓN E INFORMÁTICA 
ING. DE SISTEMAS 
Ing. Civil Industrial",[Ingeniería Industrial] - ,Desactivo,Gratuito,Nivel profesional,,1800000.0,Matched (3),1,0,0,0,[917]
919,252898.0,489,2008-05-23,20.0,1.0,,2008-08-21 00:00:00,90,0,Vendedor para La Dehesa,Ventas,Energía / Electricidad / Electrónica,"Función principal: brindar atención al cliente, indicando productos y servicios disponibles en su sección y en la tienda. Debe reponer productos de su área y mantener estándar de venta en su sector. 

Horario de trabajo en jornada completa: lunes a domingo en horario de mall, en un turno entre las 7:30 y 23:00 hrs, con uno o dos días de la semana libre y dos domingos al mes. 
- Movilización de acercamiento al domicilio.
- Almuerzo en el casino de la empresa
- Seguro Complementario de Salud.",Por Turnos,,La Dehesa,Media,Indiferente,"Requisitos:
- Orientación al Servicio al Cliente: Persona amable, respetuosa, tolerante en el trato interpersonal.
- Capacidad de aprendizaje y trabajo bajo presión.
- Deseable conocimientos de productos de construcción, ferretería, baño y cocina.
- Deseable sobre 35 años.
- Disponibilidad para trabajar en la Dehesa.

Interesados enviar CV asilval@bac.cl indicando en el asunto: Vendedor La Dehesa",,Desactivo,Pagado,Nivel usuario,,185000.0,Matched (3),1,0,0,0,[1003]
926,253223.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Supervisores de Tiendas,Otra Área,Banca / Financiera ,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Jornada Completa,,,,Indiferente,"Código 01
• Administrador de empresas o carrera afín.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Administración de Empresas] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[927, 934, 935, 936, 937]"
927,253224.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Supervisores de Tiendas,Otra Área,Banca / Financiera ,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Jornada Completa,,,,Indiferente,"Código 01
• Administrador de empresas o carrera afín.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Administración de Empresas] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[926, 934, 935, 936, 937]"
928,253228.0,27150,2008-05-24,2.0,,,2008-06-07 00:00:00,14,0,Director,Otra Área,Aeronaves / Astilleros,"<P>Las condiciones de los cargos vacantes y los requisitos de postulación se encontrarán disponibles en el sitio web:<BR><A href=""http://www.sename.cl"">www.sename.cl</A><BR>Enviar antecedentes y documentos solicitados, a las direcciones especificadas y en losplazos estipulados según bases de concurso.</P>
<P>Aviso publicado en cuerpo E, página 16</P>",Jornada Completa,,,,Indiferente,Sin requisitos especiales.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[929, 930, 931]"
929,253229.0,27150,2008-05-24,3.0,,,2008-06-07 00:00:00,14,0,Jefe Técnico,Otra Área,Biotecnologia,"<P>Las condiciones de los cargos vacantes y los requisitos de postulación se encontrarán disponibles en el sitio web:<BR><A href=""http://www.sename.cl/"">http://www.sename.cl/</A><BR>Enviar antecedentes y documentos solicitados, a las direcciones especificadas y en losplazos estipulados según bases de concurso.</P>
<P>Aviso publicado en cuerpo E, página 16</P>",Jornada Completa,,,,Indiferente,Sin requisitos especiales.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[928, 930, 931]"
930,253230.0,27150,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Encargado de Personal,Otra Área,Aeronaves / Astilleros,"<P>Las condiciones de los cargos vacantes y los requisitos de postulación se encontrarán disponibles en el sitio web:<BR><A href=""http://www.sename.cl/"">http://www.sename.cl/</A><BR>Enviar antecedentes y documentos solicitados, a las direcciones especificadas y en losplazos estipulados según bases de concurso.</P>
<P>Aviso publicado en cuerpo E, página 16</P>",Jornada Completa,,,,Indiferente,Sin requisitos especiales.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[928, 929, 931]"
931,253231.0,27150,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Gestor de Redes,Otra Área,Aeronaves / Astilleros,"<P>Las condiciones de los cargos vacantes y los requisitos de postulación se encontrarán disponibles en el sitio web:<BR><A href=""http://www.sename.cl/"">http://www.sename.cl/</A><BR>Enviar antecedentes y documentos solicitados, a las direcciones especificadas y en losplazos estipulados según bases de concurso.</P>
<P>Aviso publicado en cuerpo E, página 16</P>",Jornada Completa,,,,Indiferente,Sin requisitos especiales.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[928, 929, 930]"
934,253473.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Jefes de Local,Otra Área,Biotecnologia,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Jornada Completa,,,,Indiferente,"Código 02.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Administración de Empresas] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[926, 927, 935, 936, 937]"
935,253474.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Vendedores,Otra Área,Aeronaves / Astilleros,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Jornada Completa,,,,Indiferente,"Código 03.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Venta y Publicidad] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[926, 927, 934, 936, 937]"
936,253476.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Cajeros,Otra Área,Aeronaves / Astilleros,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Jornada Completa,,,,Indiferente,"Código 04.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Venta y Publicidad] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[926, 927, 934, 935, 937]"
937,253479.0,35045,2008-05-24,1.0,,,2008-06-07 00:00:00,14,0,Vendedor Part-Time,Otra Área,Aeronaves / Astilleros,"Interesados enviar currículo indicando código de cargo al que postula y pretensiones de renta a:<BR><STRONG>EMPLEO 13061, Casilla 13-D, Santiago,</STRONG> o a<BR><A href=""http://www.empleos.elmercurio.com/"">http://www.empleos.elmercurio.com/</A> Código Web 11112",Part Time,,,,Indiferente,"Código 05.
• Se requieren personas con una clara orientación al servicio y al cumplimiento de metas.",[Venta y Publicidad] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[926, 927, 934, 935, 936]"
938,253644.0,37872,2008-05-26,1.0,0.0,3.0,2008-08-24 00:00:00,90,0,Encargado de Mantención,Logística,Defensa,"Importante empresa del rubro farmacéutico requiere Encargado de Mantención para hacerse cargo del óptimo funcionamiento de las instalaciones y maquinarias de la empresa.
Se busca persona que posea experiencia en manejo de motores y equipos de refrigeración, debe poseer salud y físico compatibles con las funciones del cargo.",Jornada Completa,Indefinida,Santiago,Técnico profesional superior,Indiferente,"Persona con deseable experiencia en mantención.Proactivo, dinámico.
Disponibilidad Inmediata",[Técnico en Electricidad Industrial] - ,Desactivo,Gratuito,Nivel usuario,,400000.0,Matched (3),1,0,0,0,[552]
940,253856.0,6618,2008-05-26,1.0,0.0,2.0,2008-08-24 00:00:00,90,0,Analista Proyectos de Desarrollo,Comercial,Aeronaves / Astilleros,"Analista Proyectos de Desarrollo
Será responsable de apoyar la labor de desarrollo de nuevos productos y/o mejora de los productos actuales.
Específicamente deberá:
?	Realizar diseños de nuevos productos (tridimensionales y planos)
?	Mantener actualizada la documentación (planos y memorias de cálculo) de todos los productos fabricados en la empresa y de todos proyectos de ingeniería de planta realizados en la empresa.
?	Apoyar en los proyectos y supervisión de trabajos de ingeniería
?	Participar en reuniones semanales del equipo de desarrollo para la aprobación de nuevos proyectos.

Se requiere Diseñador Industrial, Dibujante Técnico o similar, con al menos 2 años de experiencia en diseño en el rubro packaging.
Experto en manejo de software de diseño paramétrico y Autocad. 
Manejo de Inglés Técnico avanzado, tanto oral como escrito.
Se valorará la orientación al logro de resultados, rapidez en la entrega, y la orientación a la eficiencia en costos.

________________________________________________________________________________

La sede del cargo es Santiago, sector Vespucio Pudahuel .

Se ofrece la posibilidad de incorporarse a una empresa sólida y de larga trayectoria y presencia en el mercado nacional.  Renta de mercado, incentivos y seguros de vida y salud. 

A los interesados se les solicita enviar C.V lo antes posible, indicando cargo al cual postulan, renta actual y  pretensiones de renta, solamente a los siguientes e-mail:   pamelagonzalez@talent-hrc.cl",Jornada Completa,Indefinida,Vespucio sector industrial,Técnico profesional superior,Indiferente,"Diseñador Industrial, Dibujante Técnico o similar, con al menos 2 años de experiencia en diseño en el rubro packaging.
Experto en manejo de software de diseño paramétrico y Autocad. 
Manejo de Inglés Técnico avanzado, tanto oral como escrito.
Se valorará la orientación al logro de resultados, rapidez en la entrega, y la orientación a la eficiencia en costos.",[Diseño] - ,Desactivo,Gratuito,Nivel usuario avanzado,,800000.0,Matched (3),1,0,0,0,[899]
941,253957.0,6059,2008-05-26,30.0,0.0,0.0,2008-07-25 00:00:00,60,0,Operadores Part Time Local Apoquindo,Servicio al Cliente,Educación / Capacitación,"Pizza Hut requiere personal part time y full time para el local ubicado en Av. Apoquindo 5489, Comuna de Las Condes

Se requieren jóvenes desde los 16 años que deseen unirse en un equipo de excelencia en la atención a clientes.

La persona que postula debe tener alto compromiso con las tareas, adecuada presencia personal, pro-actividad, buen trabajo de equipo y atención de excelencia a los clientes. 

Dependiendo del local existe movilización al hogar en horario de cierre.",Part Time,Mensual,Av. Apoquindo 5489,Media,Indiferente,Tener alto compromiso con el trabajo.,,Desactivo,Gratuito,Nivel bajo,,145000.0,Matched (3),0,0,1,0,"[568, 578, 824, 942, 943, 1187]"
942,253967.0,6059,2008-05-26,30.0,0.0,0.0,2008-07-25 00:00:00,60,0,Operadores Part time Local El Bosque,Servicio al Cliente,Educación / Capacitación,"Pizza Hut requiere personal part time y full time para el local ubicado en Av. Apoquindo 2848, Comuna de Las Condes

Se requieren jóvenes desde los 16 años que deseen unirse en un equipo de excelencia en la atención a clientes.

La persona que postula debe tener alto compromiso con las tareas, adecuada presencia personal, pro-actividad, buen trabajo de equipo y atención de excelencia a los clientes. 

Dependiendo del local existe movilización al hogar en horario de cierre.",Part Time,Mensual,Av. Apoquindo 2848,Media,Indiferente,Tener Alto Compromiso con el trabajo,,Desactivo,Gratuito,Nivel bajo,,145000.0,Matched (3),0,0,1,0,"[568, 824, 941, 943, 1170, 1187]"
943,253977.0,9996,2008-05-26,30.0,0.0,0.0,2008-07-25 00:00:00,60,0,Pizza Hut requiere operadores Part Time Local Apoquindo,Servicio al Cliente,Educación / Capacitación,"Pizza Hut requiere personal part time y full time para el local ubicado en Av. Apoquindo 5489, Comuna de Las Condes

Se requieren jóvenes desde los 16 años que deseen unirse en un equipo de excelencia en la atención a clientes.

La persona que postula debe tener alto compromiso con las tareas, adecuada presencia personal, pro-actividad, buen trabajo de equipo y atención de excelencia a los clientes. 

Dependiendo del local existe movilización al hogar en horario de cierre.",Part Time,Mensual,Av. Apoquindo 5489,Media,Indiferente,Tener Alto compromiso con el trabajo.,,Desactivo,Gratuito,Nivel bajo,,145000.0,Matched (3),0,0,1,0,"[568, 578, 824, 941, 942, 1187]"
944,254089.0,566685,2008-05-27,1.0,0.0,1.0,2008-08-25 00:00:00,90,0,Ingeniero Informático,Operaciones,Energía / Electricidad / Electrónica,"Importante Empresa del Ruburo Informático requiere integrar a su equipo de trabajo a Ingeniero Ejecución Informático titulado de INACAP  y/o DUOC.  El cargo esta orientado a dar Soporte al usuario y Control de Activos.
Responsabilidades asociadas al cargo: 
1.Realizar soporte a usuarios en forma rápida y efectiva. El soporte esta orientado a todos los problemas o incidentes que no pueden ser resueltos en forma telefónica (por la empresa externa HP).
2.Realizar el control de activos; Claridad del equipamiento y stock para responder ante necesidades y urgencias que surjan en la empresa.",Jornada Completa,,Santiago,Universitaria,Indiferente,"Requisito: 
-Experiencia de 1 año en soporte a Usuarios, en empresas o consultoras. 
-Manejo de Sofware Microsoft (idealmente Office 2007)
-Manejo de  Active Directory
-Manejo de Windows
-Manejo acabo en Office

Deseable;
-Idealmente Conocimientos de Sharepoint y Office Comunicator 
-Idealmente Conocimientos básicos de ITIL o fundamentos de ITIL
-Deseable conocimientos en Office Comunicator y Sharepoint.",,Desactivo,Pagado,Nivel profesional,,100000.0,Matched (3),1,0,1,0,"[990, 1036, 1037]"
945,254319.0,7161,2008-05-27,1.0,0.0,1.0,2008-06-11 00:00:00,15,0,Coordinador de Proyectos en Construcción,Otra Área,Aeronaves / Astilleros,"Un Techo para Chile es una organización formada por jóvenes profesionales y voluntarios universitarios que trabajan por construir un Chile sin campamentos. A la fecha hemos construido más de 30.000 mediaguas en todo el país. Además, entregamos micro créditos, capacitamos en oficios básicos, operamos programas educacionales dirigidos a preescolares, niños y jóvenes; así como programas de salud, asistencia jurídica y vivienda definitiva. Un techo para Chile se ha convertido en una de las instituciones más reconocidas en la lucha contra la extrema pobreza a nivel nacional, y ha exportado este concepto a varios países de América Latina.

Descripción del Cargo:
El Coordinador del programa de Tutorías se encarga de coordinar y gestionar el trabajo que realizan los voluntarios con los niños en edad escolar en los campamentos de la región metropolitana, ofreciéndoles una plataforma de apoyo. 
El trabajo de los tutores consiste en ir una vez a la semana por una hora y media a la casa de un niño de campamento para ayudarlo en las materias en que tengan dificultades.
El programa de tutoría tiene presencia actualmente en 56 campamentos de la región y concentra la mayor cantidad de voluntarios de Un techo para Chile y el objetivo para el 2008 es estar presente en más campamentos por lo tanto contar con más voluntarios.",Jornada Completa,indefinido,Departamental 440,Universitaria,Indiferente,"Principales responsabilidades:
- Elaborar y administrar el programa de tutorías en todos los campamentos de Santiago.
- Coordinar el proceso de captación, selección y capacitación de voluntarios universitarios para el trabajo en campamento.
- Asesorar a los equipos de voluntarios.
- Generar indicadores para evaluar los resultados y el impacto que tiene la aplicación de tutorías en los niños

Perfil y/o requisitos:
- Profesional egresado.
- Compromiso y vocación social.
- Experiencia en trabajo de voluntariado y coordinación.
- Disponibilidad para trabajar fuera de horarios de oficina.
- Excelencia profesional: competencias para realizar un trabajo riguroso y profesional.
- Motivado con el proyecto de UTPCH y la erradicación de campamentos.
- Fuerte interés por participar en proyectos de investigación. 
- Capacidad de gestión

Enviar CV hasta 06/05/08",[Psicología Educacional] - ,Desactivo,Gratuito,Nivel usuario avanzado,,400000.0,Matched (3),0,0,1,0,"[464, 467, 946, 947, 948, 1080, 1081, 1082]"
946,254339.0,7161,2008-05-27,1.0,0.0,1.0,2008-08-25 00:00:00,90,0,"Encargado Programa Tutorías, Plan de Educación",Otra Área,Aeronaves / Astilleros,"Un Techo para Chile es una organización formada por jóvenes profesionales y voluntarios universitarios que trabajan por construir un Chile sin campamentos. A la fecha hemos construido más de 30.000 mediaguas en todo el país. Además, entregamos micro créditos, capacitamos en oficios básicos, operamos programas educacionales dirigidos a preescolares, niños y jóvenes; así como programas de salud, asistencia jurídica y vivienda definitiva. Un techo para Chile se ha convertido en una de las instituciones más reconocidas en la lucha contra la extrema pobreza a nivel nacional, y ha exportado este concepto a varios países de América Latina.

Descripción del Cargo:
El Coordinador del programa de Tutorías se encarga de coordinar y gestionar el trabajo que realizan los voluntarios con los niños en edad escolar en los campamentos de la región metropolitana, ofreciéndoles una plataforma de apoyo. 
El trabajo de los tutores consiste en ir una vez a la semana por una hora y media a la casa de un niño de campamento para ayudarlo en las materias en que tengan dificultades.
El programa de tutoría tiene presencia actualmente en 56 campamentos de la región y concentra la mayor cantidad de voluntarios de Un techo para Chile y el objetivo para el 2008 es estar presente en más campamentos por lo tanto contar con más voluntarios.",Jornada Completa,indefinido,Departamental 440,Universitaria,Indiferente,"Principales responsabilidades:
- Elaborar y administrar el programa de tutorías en todos los campamentos de Santiago.
- Coordinar el proceso de captación, selección y capacitación de voluntarios universitarios para el trabajo en campamento.
- Asesorar a los equipos de voluntarios.
- Generar indicadores para evaluar los resultados y el impacto que tiene la aplicación de tutorías en los niños

Perfil y/o requisitos:
- Profesional egresado.
- Compromiso y vocación social.
- Experiencia en trabajo de voluntariado y coordinación.
- Disponibilidad para trabajar fuera de horarios de oficina.
- Excelencia profesional: competencias para realizar un trabajo riguroso y profesional.
- Motivado con el proyecto de UTPCH y la erradicación de campamentos.
- Fuerte interés por participar en proyectos de investigación. 
- Capacidad de gestión

Enviar CV hasta 06/05/08",[Psicología Educacional] - ,Desactivo,Gratuito,Nivel usuario avanzado,,400000.0,Matched (3),0,0,1,0,"[464, 467, 945, 947, 948, 1080, 1081, 1082]"
947,254357.0,7313,2008-05-27,1.0,0.0,1.0,2008-08-25 00:00:00,90,0,"Encargado Programa Tutorías, Plan de Educación",Otra Área,Aeronaves / Astilleros,"Un Techo para Chile es una organización formada por jóvenes profesionales y voluntarios universitarios que trabajan por construir un Chile sin campamentos. A la fecha hemos construido más de 30.000 mediaguas en todo el país. Además, entregamos micro créditos, capacitamos en oficios básicos, operamos programas educacionales dirigidos a preescolares, niños y jóvenes; así como programas de salud, asistencia jurídica y vivienda definitiva. Un techo para Chile se ha convertido en una de las instituciones más reconocidas en la lucha contra la extrema pobreza a nivel nacional, y ha exportado este concepto a varios países de América Latina.

Descripción del Cargo:
El Coordinador del programa de Tutorías se encarga de coordinar y gestionar el trabajo que realizan los voluntarios con los niños en edad escolar en los campamentos de la región metropolitana, ofreciéndoles una plataforma de apoyo. 
El trabajo de los tutores consiste en ir una vez a la semana por una hora y media a la casa de un niño de campamento para ayudarlo en las materias en que tengan dificultades.
El programa de tutoría tiene presencia actualmente en 56 campamentos de la región y concentra la mayor cantidad de voluntarios de Un techo para Chile y el objetivo para el 2008 es estar presente en más campamentos por lo tanto contar con más voluntarios.

Principales responsabilidades:
- Elaborar y administrar el programa de tutorías en todos los campamentos de Santiago.
- Coordinar el proceso de captación, selección y capacitación de voluntarios universitarios para el trabajo en campamento.
- Asesorar a los equipos de voluntarios.
- Generar indicadores para evaluar los resultados y el impacto que tiene la aplicación de tutorías en los niños.",Jornada Completa,indefinido,Departamental 440,Universitaria,Indiferente,"Perfil y/o requisitos:
- Profesional egresado.
- Compromiso y vocación social.
- Experiencia en trabajo de voluntariado y coordinación.
- Disponibilidad para trabajar fuera de horarios de oficina.
- Excelencia profesional: competencias para realizar un trabajo riguroso y profesional.
- Motivado con el proyecto de UTPCH y la erradicación de campamentos.
- Fuerte interés por participar en proyectos de investigación. 
- Capacidad de gestión.

Enviar CV hasta el 06/05/08",[Psicopedagogía / Educación Diferencial] - ,Desactivo,Gratuito,Nivel usuario avanzado,,400000.0,Matched (3),0,0,1,0,"[464, 467, 468, 945, 946, 948, 1080, 1081, 1082]"
948,254366.0,6056,2008-05-27,1.0,0.0,,2008-06-11 00:00:00,15,0,"Encargado Programa Tutorías, Plan de Educación",Otra Área,Aeronaves / Astilleros,"Un Techo para Chile es una organización formada por jóvenes profesionales y voluntarios universitarios que trabajan por construir un Chile sin campamentos. A la fecha hemos construido más de 30.000 mediaguas en todo el país. Además, entregamos micro créditos, capacitamos en oficios básicos, operamos programas educacionales dirigidos a preescolares, niños y jóvenes; así como programas de salud, asistencia jurídica y vivienda definitiva. Un techo para Chile se ha convertido en una de las instituciones más reconocidas en la lucha contra la extrema pobreza a nivel nacional, y ha exportado este concepto a varios países de América Latina.

Descripción del cargo:
El Coordinador del programa de Tutorías se encarga de coordinar y gestionar el trabajo que realizan los voluntarios con los niños en edad escolar en los campamentos de la región metropolitana, ofreciéndoles una plataforma de apoyo. 
El trabajo de los tutores consiste en ir una vez a la semana por una hora y media a la casa de un niño de campamento para ayudarlo en las materias en que tengan dificultades.
El programa de tutoría tiene presencia actualmente en 56 campamentos de la región y concentra la mayor cantidad de voluntarios de Un techo para Chile y el objetivo para el 2008 es estar presente en más campamentos por lo tanto contar con más voluntarios.",Jornada Completa,indefinido,Departamental 440,Universitaria,Indiferente,"Principales responsabilidades:
- Elaborar y administrar el programa de tutorías en todos los campamentos de Santiago.
- Coordinar el proceso de captación, selección y capacitación de voluntarios universitarios para el trabajo en campamento.
- Asesorar a los equipos de voluntarios.
- Generar indicadores para evaluar los resultados y el impacto que tiene la aplicación de tutorías en los niños.

Perfiles y/o requisitos:
- Profesional egresado.
- Compromiso y vocación social.
- Experiencia en trabajo de voluntariado y coordinación.
- Disponibilidad para trabajar fuera de horarios de oficina.
- Excelencia profesional: competencias para realizar un trabajo riguroso y profesional.
- Motivado con el proyecto de UTPCH y la erradicación de campamentos.
- Fuerte interés por participar en proyectos de investigación. 
- Capacidad de gestión.

Enviar CV hasta 06/05/08",[Psicología] - ,Desactivo,Gratuito,Nivel usuario avanzado,,400000.0,Matched (3),0,0,1,0,"[464, 467, 945, 946, 947, 1080, 1081, 1082]"
949,254397.0,20423,2008-07-22,1.0,1.0,,2008-08-25 00:00:00,34,0,"Práctica Profesional, Secretariado Ejecutivo Bilingüe",Recursos Humanos,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado Personal u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente",Práctica Profesional,6 meses,"Pudahuel, Santiago",Técnico profesional superior,Indiferente,"Buscamos profesionales egresados de la carrera de Secretariado o Secretariado Ejecutivo Bilingüe para realizar su práctica profesional en la Gerencia de Recursos Humanos, por un período de 6 meses. Inglés avanzado deseable.
  
Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
Postulantes ya titulados y que estén en busca de trabajo no serán considerados para este proceso.",[Secretariado] - ,Desactivo,Pagado,Nivel usuario,,200000.0,Matched (3),0,0,1,0,"[39, 40, 41, 47, 48, 117, 952, 1217, 1218, 1291]"
952,254487.0,20423,2008-07-22,1.0,1.0,,2008-08-26 00:00:00,35,0,Práctica Profesional Recursos Humanos,Recursos Humanos,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado Personal u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente

¿Quieres saber más? Visítanos en http://www.henkel.cl",Práctica Profesional,6 meses,"Pudahuel, Santiago",Técnico profesional superior,Indiferente,"Buscamos profesionales egresados de las carreras de Ingeniero en Administración General, Ingeniero en Administración en Recursos Humanos, Técnicos en Administración General, Técnicos en Administración de Recursos Humanos, para realizar su práctica profesional en la Gerencia de Recursos Humanos, por un período de 6 meses. Inglés avanzado deseable.
  
Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
Postulantes ya titulados y que estén en busca de trabajo no serán considerados para este proceso",[Ingeniería de Ejecución] - ,Desactivo,Pagado,Nivel usuario,,200000.0,Matched (3),0,0,1,0,"[39, 40, 41, 47, 48, 117, 949, 1217, 1218, 1291]"
956,262282.0,573383,2008-04-18,1.0,,0.0,2008-06-27 00:00:00,70,0,BECARIO CONTABILIDAD,Otra Área,,,Jornada Completa,,,Licenciatura,Indiferente,"Puesto: Becario \nEscolaridad: Estudiantes de semestres intermedios de Contabilidad o Administracion\nSexo: Indistinto\nEdad:20-24 años\nActividades: Organización, clasificación y control del archivo de contabilidad.\nControl de facturas fiscales, notas de crédito y débito. Registro de facturas\npreliminares. Apoyo al control de inventarios físicos. \nHorario: 6 hrs. por la mañana\nLugar trabajo: 1 año aprox. Naucalpan, posteriormente en Ecatepec\n\nOfrecemos: Beca competitiva + servicio de comedor.\n\n",,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[958, 967, 976, 983, 985]"
958,263455.0,573673,2008-02-07,1.0,,0.0,2008-06-27 00:00:00,141,0,Diseñador Editorial ( free lance),Otra Área,,,Jornada Completa,,,Licenciatura,Indiferente,Para trabajar cada dos meses Free lance en un periódico especialista. TRABAJO EN CASA.,,Desactivo,Gratuito,,,,Matched (3),0,0,0,1,"[956, 967, 976, 983, 985]"
