,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
349,524306.0,599336,2010-01-21,2.0,1.0,1.0,2010-02-19 00:00:00,29,0,Contador(a) general,Otra Área,Banca / Financiera ,"Oportunidad de integrarse a prestigiosa empresa multinacional.
Horarios flexibles, capacitaciones gratuitas. 
posibilidad de trabajar desde casa.
Sea su propio jefe.
Altos ingresos.
Solicite entrevista a info@servimundo.com",Part Time,indefinido,stgo.,Técnico profesional superior,Graduado,Personas serias,[Contador General / Contabilidad] - ,Desactivo,Gratuito,Nivel usuario,,700000.0,Matched (3),0,1,0,0,"[163, 256, 258, 275, 421, 430, 1643, 1645, 1701, 1757, 1758, 1858, 1931, 2883, 2884, 2897, 3201, 3202]"
354,524524.0,580662,2010-01-21,1.0,0.0,0.0,2010-01-29 00:00:00,8,0,MEMORIA AGRONOMIA VII REGION,Seguridad e Higiene,Estudios Jurídicos,"Grupo Arauco, una de las mayores empresas forestales de América Latina, requiere un estudiante de 5º año de Agronomía, que desee realizar su Memoria en nuestro complejo industrial ubicado en Constitución VII Región. El tema a desarrollar contempla proyectos de minimización de residuos sólidos no peligrosos, y generar un proyecto de viabilidad compostaje. 
  
Se requiere una persona con alta orientación al aprendizaje y al trabajo en equipo, capaz de comunicarse y relacionarse adecuadamente a distintos niveles, efectiva en términos de planificación y organización de tareas.",Práctica Profesional,Variable,Constitución,Universitaria,En curso,- Estudiante de Agronomia en período de realizar su Memoria,[Agronomía] - ,Desactivo,Pagado,Ninguno,,180000.0,Matched (3),0,0,1,0,[161]
356,524566.0,617054,2010-01-21,1.0,0.0,2.0,2010-04-21 00:00:00,90,0,Encargado de Producción Calama,Operaciones,Química,"Importante empresa del rubro industrial líder en su rubro a nivel nacional requiere Encargado de Operaciones para Calama.
Las principales funciones del cargo son:
-Controlar el cumplimiento de la programación de producción, de acuerdo a las normas de calidad y normativa 
-Supervisar la labor de los trabajadores a su cargo. 
-Supervisar el funcionamiento de los equipos y maquinarias.
-Verificar el cumplimiento de los programas 
-Ordenar reparaciones cuando corresponde
-Lleva relación con contratistas que realicen trabajos en la planta, entre otras
",Jornada Completa,Indefinido,Calama,Técnico profesional superior,Graduado,"-Estudios completos de carreras de Mecánica, Industrial, Ejecución o similar
-Experiencia desempeñándose en empresas del rubro industrialñ o productivo
-Contar con al menos dos años de experiencia laboral en cargos similares
-Experiencia con personal a cargo, coordinando equipos
-Disponibilidad para Trabajar días sábado
-Manejo de office ",[Mecánica] - ,Desactivo,Gratuito,Nivel usuario,,750000.0,Matched (3),1,0,0,0,[1124]
358,524736.0,592525,2010-01-21,2.0,0.0,3.0,2010-01-28 00:00:00,7,0,ANALISTA FUNCIONAL SSR,Informática,Aeronaves / Astilleros,"Para Entidad Bancaria, seleccionaremos a Analista Funcional Semi-Senior de Sistemas, Procesos, Calidad, Planeamiento y Diseños de Procedimientos en general de las distintas líneas de Productos Activos y Pasivos. Elaboración de manuales de procedimiento. Relevamiento de tiempo de trabajo y productividad. Estamos orientados hacia postulantes que tenga experiencia preferentemente en estudios de primera línea especializados en el desarrollo de esta temática (Excluyente). Con formación Universitaria o estudiantes del último año (excluyente). Edad hasta 35 años. ",Jornada Completa,Efectivo,Capital Federal,Universitario,Graduado,Experiencia comprobable como Analista Funcional para Entidades Bancarias,[Ingeniería en Computación] - ,Desactivo,Gratuito,Nivel usuario avanzado,,6000.0,Matched (3),0,0,1,0,"[90, 390, 456, 503, 727, 747, 766, 801, 827, 878, 893]"
359,524740.0,41555,2010-01-21,2.0,0.0,2.0,2010-01-28 00:00:00,7,0,Ejecutiva de Ventas,Comercial,Automotriz ,"Importante portal de Internet, requiere incorporar a su equipo DOS EJECUTIVAS COMERCIALES con al menos dos años de experiencia, quienes serán responsable de vender Perfiles Premium (servicio online) para empresas, destacando los beneficios que tiene la utilización de los servicios del portal. 

Principales tareas y responsabilidades:

- Contactar clientes de la base de datos con que cuenta la empresa, explicar y presentar los servicios, usos y beneficios del usuario en general.
- Realizar llamadas de seguimiento.
- Contactar a clientes para cerrar ventas. 
- Gestionar el pago de los clientes. 
- Después de la venta realizada, asesorar y capacitar a los clientes con “Perfil Premium” en temas básicos del uso del sitio. 

Se requieren personas altamente proactivas y con perfil comercial. 
",Jornada Completa,Indefinida,Providencia,Universitaria,Graduado,"- Experiencia de al menos dos años en venta, de preferencia telefónica.
- Afinidad con temas computacionales, manejo de planillas Excel y Office en general. 
- Inglés básico.
- Indispensable perfil comercial.
",[Ingeniería Comercial] - ,Desactivo,Pagado,Ninguno,,111111.0,Matched (3),1,0,0,0,[218]
363,524944.0,566958,2010-01-21,2.0,0.0,2.0,2010-05-03 00:00:00,102,0,Ejecutivo de Cuenta,Ventas,Publicidad / Marketing / RRPP ,"Compañía líder en la comercialización de servicios para empresas.

Buscamos un/a Ejecutivo/a  de cuenta, con fuerte vocación  comercial para sumarse al equipo de ventas. Se valorarán aquellas personas proactivas, dinámicas  que tengan valores éticos, morales y  sean  honestas, para unirse a un equipo profesional caracterizado por el compañerismo y el trabajo en equipo.

Es excluyente contar con 2 años como mínimo de experiencia en venta de servicios; Mayor de 21 años de edad. Poseer estudios universitarios en Administración de Empresas, Marketing, Comercialización o afines, con buen nivel de comunicación verbal, escrita y excelente imagen personal. 

Se ofrece: Relación de dependencia directa con la empresa y remuneración acorde al puesto, compuesta por sueldo fijo y variable en base a las ventas.

Lugar de trabajo: Zona Norte del Gran Buenos Aires.

",Jornada Completa,Indeterminado,Boulogne,Universitario,En curso,"Poseer estudios universitarios en Administración de Empresas, Marketing, Comercialización o afines",[Comercio Internacional / Comercio Exterior] - ,Desactivo,Gratuito,Nivel usuario avanzado,,2000.0,Matched (3),1,0,0,0,[364]
364,524968.0,566958,2010-01-21,2.0,0.0,0.0,2010-05-03 00:00:00,102,0,Ejecutivo de Cuenta,Ventas,Publicidad / Marketing / RRPP ,"Compañía líder en la comercialización de servicios para empresas.

Buscamos un/a Ejecutivo/a  de cuenta, con fuerte vocación  comercial para sumarse al equipo de ventas. Se valorarán aquellas personas proactivas, dinámicas  que tengan valores éticos, morales y  sean  honestas, para unirse a un equipo profesional caracterizado por el compañerismo y el trabajo en equipo.

Es excluyente contar con 2 años como mínimo de experiencia en venta de servicios; Mayor de 21 años de edad. Poseer estudios universitarios en Administración de Empresas, Marketing, Comercialización o afines, con buen nivel de comunicación verbal, escrita y excelente imagen personal. 

Se ofrece: Relación de dependencia directa con la empresa y remuneración acorde al puesto, compuesta por sueldo fijo y variable en base a las ventas.

Lugar de trabajo: Zona Norte del Gran Buenos Aires.

",Jornada Completa,Indeterminado,Boulogne,Universitario,En curso,"Poseer estudios universitarios en Administración de Empresas, Marketing, Comercialización o afines",[Comercio Internacional / Comercio Exterior] - ,Desactivo,Gratuito,Nivel usuario avanzado,,2000.0,Matched (3),1,0,0,0,[363]
368,525488.0,611818,2010-01-22,1.0,0.0,3.0,2010-04-22 00:00:00,90,0,Gerente de Sucursal  Veracruz,Ingeniería,Combustibles (Gas / Petróleo),"Cumplir con los objetivos de ventas, utilidad y margen asignados por la
Compañía. •	
Generar ventas a través del desarrollo comercial del mercado a su cargo. •	
Mantener la cartera de clientes que le fue asignada y nutrirla con nuevos
clientes y proyectos constantemente. 	
Responsable del inventario físico a su cargo.	
Responsable de cubrir los objetivos de cobranza.	
Responsable del correcto uso y conservación de todos los activos de la sucursal.
Manejo de relaciones laborales de la sucursal en coordinación con la Dirección
de Recursos Humanos. 

Habilidades:
Manejo de Personal (operativos, medios, vendedores) de todo.
Manejo de Conflictos.
Negociación.
Habilidades para el cierre de ventas. 
Extrovertido.
Organizado.
Planificador.
Seguimiento y Control. 
Administración de tiempo.
Orientado a resultados.
Alto Nivel de Comunicación.
Manejo de Conflictos. 
Adaptación. 
",Jornada Completa,permanente,Sucursal Veracruz,Licenciatura,Graduado,"Escolaridad: Ingeniería química o industrial o administrativas con experiencia en industria. 
Experiencia de Tres años como encargado del Área Comercial y Administrativa en sucursales
",[Ingeniería Química] - ,Desactivo,Gratuito,Nivel usuario,,25000.0,Matched (3),1,0,0,0,[369]
369,525584.0,611818,2010-01-22,1.0,0.0,3.0,2010-04-22 00:00:00,90,0,Gerente de Sucursal Hermosillo,Ingeniería,Combustibles (Gas / Petróleo),"Principales Funciones o Actividades•	
Cumplir con los objetivos de ventas, utilidad y margen asignados por la
Compañía. •	
Generar ventas a través del desarrollo comercial del mercado a su cargo. •	
Mantener la cartera de clientes que le fue asignada y nutrirla con nuevos
clientes y proyectos constantemente. 	
Responsable del inventario físico a su cargo.	
Responsable de cubrir los objetivos de cobranza.	
Responsable del correcto uso y conservación de todos los activos de la sucursal.
Manejo de relaciones laborales de la sucursal en coordinación con la Dirección
de Recursos Humanos. 

Habilidades:
Manejo de Personal (operativos, medios, vendedores) de todo.
Manejo de Conflictos.
Negociación.
Habilidades para el cierre de ventas. 
Extrovertido.
Organizado.
Planificador.
Seguimiento y Control. 
Administración de tiempo.
Orientado a resultados.
Alto Nivel de Comunicación.
Manejo de Conflictos. 
Adaptación. 

",Jornada Completa,permanente,Hermosillo,Licenciatura,Graduado,Experiencia de Tres años como encargado del Área Comercial y Administrativa en sucursales.,[Ingeniería Química] - ,Desactivo,Gratuito,Ninguno,,25000.0,Matched (3),1,0,0,0,[368]
371,525661.0,566824,2010-01-22,1.0,0.0,2.0,2010-03-23 00:00:00,60,0,Prevencionista de Riesgo,Operaciones,Banca / Financiera ,"El cargo tiene asignadas las siguientes responsabilidades:
1. Plan Higiene y Seguridad.
2. Seguimiento, control y evaluación del plan, generando estadísticas y planes de acción.
3. Detección de posibles riesgos en la planta. Proponer soluciones.
4. Desarrollo y ejecución de plan de capacitación en Prevención de Riesgos.
5. Control y evaluación de planes de emergencia
6. Ejecutar las tareas que conllevan a cumplimiento de la normativa.

La persona interesada en postular debe haber trabajado a lo menos 2 años en empresa indutrial en cargo similar.",Jornada Completa,Indefinido,ENEA Pudahuel,Técnico profesional superior,Graduado,"-Autonomía
-Proactividad.
-Resolución",[Prevención de Riesgos / Seguridad Industrial ] - ,Desactivo,Gratuito,Nivel usuario,,500000.0,Matched (3),1,0,0,0,"[490, 597]"
373,525675.0,598821,2010-02-01,1.0,0.0,1.0,2010-03-03 00:00:00,30,0,ASISTENTE DE TELEMARKETING,Comercial,Agropecuaria ,"SKC Rental S.A.C. empresa perteneciente al grupo Sigdo Koppers, dedicada al alquiler de equipos y maquinarias en distintos segmentos de la industria, desea incorporar a su staff a una asistente de telemarketing, con proyección a permanencia en la empresa, quien se hara cargo de las siguientes funciones:

- Difusión de la empresa, productos y servicios.
- Contribuir a incrementar la cartera de clientes.
- Llamar a clientes actuales y ver requerimientos en general.
- Generación de contratos.
- Actualización de data de clientes.

Requisitos:

- Egresada de carrera tecnica: Secretariado, Telemarketing, Atención al cliente, Ventas, carreras a fines.
- 23 a 40 años.
- Experiencia mínima de 1 año y medio.
- Proactiva
- Extrovertida
- Empatía y desenvoltura
- Comunicación a todo nivel
- Capacidad de organización

",Jornada Completa,RENOVABLE MES A MES,CHORRILLOS,Técnico,Egresado,"- Egresada de carrera tecnica: Secretariado, Telemarketing, Atención al cliente, Ventas, carreras a fines.
- 23 a 40 años.
- Experiencia mínima de 1 año y medio.
- Proactiva
- Extrovertida
- Empatía y desenvoltura
- Comunicación a todo nivel
- Capacidad de organización

",[Venta y Publicidad] - ,Desactivo,Gratuito,Nivel usuario avanzado,,900.0,Matched (3),1,0,0,0,"[317, 376, 498]"
374,525681.0,2284,2010-01-22,1.0,0.0,3.0,2010-04-22 00:00:00,90,0,Constructor Civil y/o Arquitecto,Construcción,Seguros / Previsión,"Nuestro cliente, empresa dedicada a  la fabricación y comercialización de materiales de construcción,  requiere:

Profesional del Rubro Construcción y/o Inmobiliario para el Área Comercial
(Cod 9451)

Entre sus principales  funciones  se espera que pueda  expandir el mercado de la compañía, captando nuevos clientes, conociendo sus necesidades e inquietudes y mantenerlos informados acerca de las mejoras en los productos y servicios.

La búsqueda se orienta a Ingenieros en Construcción, Constructores Civiles y/o  Arquitectos, con al menos 3 años de experiencia en productos industriales,  idealmente  del rubro construcción y/o inmobiliario.
La persona que ocupe el cargo deberá  tener disponibilidad para viajar continuamente y poseer idealmente un  nivel de Ingles  intermedio. Tendrá que demostrar capacidad analítica, organización y compromiso con la ejecución de sus labores, además de excelentes relaciones interpersonales. 

Se ofrece la posibilidad de incorporarse a una organización líder en su rubro.

Invitamos a los interesados que cumplan los requisitos señalados a postular en línea en el sitio www.tmf-group.cl , o enviar su CV y pretensiones de renta exclusivamente a seleccion.personal@tmf-group.com haciendo referencia al código 9451. Los antecedentes serán analizados en forma confidencial
",Jornada Completa,Indefinido,Santiago,Universitaria,Graduado," 3 años de experiencia en productos industriales,  idealmente  del rubro construcción y/o inmobiliario.
La persona que ocupe el cargo deberá  tener disponibilidad para viajar continuamente y poseer idealmente un  nivel de Ingles  intermedio. ",[Ingeniería en Construcción] - ,Desactivo,Pagado,Ninguno,,800000.0,Matched (3),1,0,0,0,"[424, 476, 511]"
376,525686.0,606660,2010-01-22,1.0,0.0,1.0,2010-01-29 00:00:00,7,0,ASISTENTE DE TELEMARKETING,Comercial,Agropecuaria ,"SKC Rental S.A.C. empresa perteneciente al grupo Sigdo Koppers, dedicada al alquiler de equipos y maquinarias en distintos segmentos de la industria, desea incorporar a su staff a una asistente de telemarketing, con proyección a permanencia en la empresa, quien se hara cargo de las siguientes funciones:

- Difusión de la empresa, productos y servicios.
- Contribuir a incrementar la cartera de clientes.
- Llamar a clientes actuales y ver requerimientos en general.
- Generación de contratos.
- Actualización de data de clientes.

Requisitos:

- Egresada de carrera tecnica: Secretariado, Telemarketing, Atención al cliente, Ventas, carreras a fines.
- 23 a 40 años.
- Experiencia mínima de 1 año y medio.
- Proactiva
- Extrovertida
- Empatía y desenvoltura
- Comunicación a todo nivel
- Capacidad de organización
",Jornada Completa,RENOVABLE MES A MES,CHORRILLOS,Técnico,Egresado,"- Egresada de carrera tecnica: Secretariado, Telemarketing, Atención al cliente, Ventas, carreras a fines.
- 23 a 40 años.
- Experiencia mínima de 1 año y medio.
- Proactiva
- Extrovertida
- Empatía y desenvoltura
- Comunicación a todo nivel
- Capacidad de organización

",[Telecomunicaciones] - ,Desactivo,Gratuito,Nivel usuario avanzado,,900.0,Matched (3),1,0,0,0,"[317, 373, 498]"
378,525735.0,608394,2010-01-22,2.0,1.0,0.0,2010-01-29 00:00:00,7,0,ASISTENTE EDUCATIVO MEDIO TIEMPO,Recursos Humanos,Agropecuaria ,"ASISTENTE EDUCATIVO  estudiantes, pasantes  con o sin experiencia de trabajo LABORE  medio tiempo de Lunes a Viernes (3 turnos a elegir) actividades administrativas EN EL DEPARTAMENTO DE RECURSOS HUMANOS ganando de $1,800.00 a $2,300.00 semanales
¿Qué ofrecemos?
-Horario flexible (MATUTINO 8-1; MIXTO 12-5;VESPERTINO 3-8)
- Trabaja sin descuidar tus estudios
- Estabilidad 
- Desarrollo profesional 
- Crecimiento
Requisitos
- Mínimo preparatoria
- Sexo indistinto
- UNICAMENTE DE 17 A 35 AÑOS
IMPORTANTE
- Carácter amable
- Persona sociable, sepa trabajar en equipo.
- Buena presentación.
INTERESADOS ENVIAR CV. A: personal_recursoshumanos@hotmail.com
DIRIGIDO A LICENCIADA VALERIA GUZMAN
",Media Jornada,INDEFINIDO,DISTRITO FEDERAL,Preparatoria,Indiferente,"DISPONIBILIDAD INMEDIATA
PERSONA RESPONSABLE",,Desactivo,Pagado,Ninguno,,8000.0,Matched (3),0,0,0,1,"[521, 656, 780, 1639, 1856, 3155, 3259, 3382, 3839, 4293]"
379,525850.0,27507,2010-01-23,5.0,,,2010-02-06 00:00:00,14,0,Académicos,Otra Área,Otra Actividad,"<P>Las bases detalladas disponibles en el sitio:<BR><A href=""http://www.uantof.cl/"">http://www.uantof.cl/</A><BR>Enviar curriculum vitae y otros antecedentes a:<BR>Departamento de Recursos Humanos<BR><STRONG>Avda. Angamos N° 601<BR> Fax 637102<BR> Casilla 170- Antofagasta.</STRONG> </P>
<P><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: Verdana; mso-fareast-font-family: 'Times New Roman'; mso-bidi-font-family: Arial; mso-ansi-language: ES-CL; mso-fareast-language: ES-CL; mso-bidi-language: AR-SA"">Aviso publicado en cuerpo E, página 12.</SPAN></P>",Jornada Completa,,,,,"Codigo N° 01

• Tener grado de licenciado en Física, o un título profesional universitario en el área de la física, otorgado por una universidad chilena o extranjera reconocida por la Universidad de Chile.
• Deseable poseer el grado de doctor en física o equivalente. Si el grado fue otorgado por una universidad extranjera, éste debe estar reconocido por la universidad de chile.
• Deseable acreditar investigación científica a través de publicaciones en revistas de corriente principal u otras con comité editorial.
• Deseable haber realizado docencia universitaria de física en carreras de pregrado de áreas como ingeniería, ciencias de la salud, ciencias del mar u otras. 
• Lo estipulado en el art. 12° del D.F.L N° 29 de 2004, texto refundido, coordinado y sistematizado de la Ley N°18.834/89.",[Física / Ciencias Físicas] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,[380]
380,525858.0,27507,2010-01-23,1.0,,,2010-02-06 00:00:00,14,0,Académicos,Otra Área,Otra Actividad,"<P>Las bases detalladas disponibles en el sitio:<BR><A href=""http://www.uantof.cl/"">http://www.uantof.cl/</A><BR>Enviar curriculum vitae y otros antecedentes a:<BR>Departamento de Recursos Humanos<BR><STRONG>Avda. Angamos N° 601<BR>Fax 637102<BR>Casilla 170- Antofagasta.</STRONG> </P>
<P><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: Verdana; mso-fareast-font-family: 'Times New Roman'; mso-bidi-font-family: Arial; mso-ansi-language: ES-CL; mso-fareast-language: ES-CL; mso-bidi-language: AR-SA"">Aviso publicado en cuerpo E, página 12.</SPAN></P>",Jornada Completa,,,,,"Codigo N° 02

• Título profesional universitario en química ambiental o ingeniería civil ambiental, otorgado por una universidad chilena o extranjera, en este último caso  reconocido por la Universidad de Chile.
• Deseable poseer  grado académico  de doctor  o PhD, en química con especialización o mención  acreditable en química ambiental, . otorgado por una universidad chilena o extranjera, en este último caso reconocida por la universidad de chile.
• Deseable acreditar experiencia docente universitaria en universidades del consejo de rectores en los ultimos 5 años.
• Deseable haber trabajado en una línea de  investigación, orientada hacia aspectos relevantes de la química ambiental y/o ingeniería medioambiental o áreas afines, acreditadas mediante publicaciones ISI o SCIELO. 
• Deseable haber participado en proyectos de investigación.
• Lo estipulado en el art. 12° del D.F.L N° 29 de 2004, texto refundido, coordinado y sistematizado de la Ley N°18.834/89.",[Ingeniería Ambiental] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,[379]
381,525881.0,27192,2010-01-23,1.0,,,2010-02-06 00:00:00,14,0,Profesional Laboratorio de Referencia Nacional,Otra Área,Aeronaves / Astilleros,"<P>Mayores antecedentes en el sitio web:<BR><A href=""http://www.ispch.cl"">www.ispch.cl</A> (link concursos Públicos).</P>
<P>Aviso publicado en Cuerpo E, página 13.</P>",Jornada Completa,,,,,• Sin requisitos especificados.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[382, 383, 466]"
382,525882.0,27192,2010-01-23,1.0,,,2010-02-06 00:00:00,14,0,Profesional Laboratorio Genético Molecular,Otra Área,Aeronaves / Astilleros,"<P>Mayores antecedentes en el sitio web:<BR><A href=""http://www.ispch.cl/"">http://www.ispch.cl/</A> (link concursos Públicos).</P>
<P>Aviso publicado en Cuerpo E, página 13.</P>",Jornada Completa,,,,,• Sin requisitos especificados.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[381, 383, 466]"
383,525884.0,27192,2010-01-23,1.0,,,2010-02-06 00:00:00,14,0,Profesional Laboratorio Bacteriología,Otra Área,Aeronaves / Astilleros,"<P>Mayores antecedentes en el sitio web:<BR><A href=""http://www.ispch.cl/"">http://www.ispch.cl/</A> (link concursos Públicos).</P>
<P>Aviso publicado en Cuerpo E, página 13.</P>",Jornada Completa,,,,,• Sin requisitos especificados.,,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[381, 382, 466]"
384,526071.0,608600,2010-01-23,1.0,0.0,0.0,2010-01-30 00:00:00,7,0,CAPTURISTA DE MEDIO TIEMPO,Administración,Agropecuaria ,"CAPTURISTA DE DATOS!!! Estudiantes, pasantes dinamicos (cualquier carrera) con o sin experiencia de trabajo LABORE  medio tiempo de Lunes a Viernes (3 turnos a elegir) actividades administrativas EN EL DEPARTAMENTO DE RECURSOS HUMANOS ganando de $1,800.00 a $2,300.00 semanales
¿Qué ofrecemos?
-Horario flexible (8-1;12-5;3-8)
- Trabaja sin descuidar tus estudios
- Estabilidad 
- Desarrollo profesional 
- Crecimiento
Requisitos
- Mínimo preparatoria
- UNICAMENTE DE 17 A 35 AÑOS
-SEXO INDISTINTO
-Conocimientos básicos en computación
IMPORTANTE
- Carácter amable
- Persona sociable, sepa trabajar en equipo.
- Buena presentación.
INTERESADOS ENVIAR CURRICULUM VITAE  A contrataciones_rh_c@hotmail.com  DIRIGIDO A  SRITA. JULIETA 
",Media Jornada,UN AÑO,DF,Licenciatura,Indiferente,MEDIO TIEMPO DISPONIBILIDAD INMEDIATA,,Desactivo,Pagado,Nivel usuario,,8000.0,Matched (3),0,0,0,1,"[292, 470, 549, 653, 799, 891, 997, 1091, 1268, 1562, 1794, 1947]"
385,526072.0,611153,2010-01-23,3.0,0.0,0.0,2010-01-30 00:00:00,7,0,ASISTENTE ADMINISTRATIVO MEDIO TIEMPO,Administración,Agropecuaria ,"ASISTENTE ADMINISTRATIVO   con o sin experiencia de trabajo LABORE  medio tiempo de Lunes a Viernes (3 turnos a elegir) EN EL DEPARTAMENTO DE RECURSOS HUMANOS $2,500.00 semanales acepto estudiantes, oportunidad de crecimiento.

¿Qué OFRECEMOS?

-HORARIO FLEXIBLE (MATUTINO 8-1; MIXTO 12-5; VESPERTINO 3-8) 
-TRABAJA SIN DESCUIDAR TUS ESTUDIOS 
-ESTABILIDAD Y DESARROLLO 
REQUISITOS 
-SEXO INDISTINTO 
-UNICAMENTE DE 18 a 35 años. 
IMPORTANTE 
-TRABAJE EN EQUIPO 
-BUENA PRESENTACION 
-CARACTER AMABLE Y SOCIABLE 
INTERESADOS ENVIAR CV. A: lic.jazmin_contrataciones@hotmail.com
DIRIGIDO A LICENCIADA JAZMIN ESTRADA

 ",Media Jornada,INDEFINIDO,DISTRITO FEDERAL,Preparatoria,En curso,DISPONIBILIDAD INMEDIATA,,Desactivo,Pagado,Ninguno,,8000.0,Matched (3),0,0,0,1,"[253, 486, 487, 547, 633, 649, 724, 798, 1026, 1189, 1277, 1392]"
386,526087.0,617484,2010-01-24,5.0,0.0,0.0,2010-04-24 00:00:00,90,0,ACTUARIA ESTUDIANTES. Medio tiempo.,Recursos Humanos,Banca / Financiera ,"ACTUARIA !!! Estudiantes, Pasantes, con o sin experiencia de trabajo LABORE medio tiempo de Lunes a Viernes (3 turnos a elegir) actividades administrativas EN EL DEPARTAMENTO DE RECURSOS HUMANOS ganando de $1,800 a $2,300 semanales.

¿Qué ofrecemos?

Horario flexible (8-1; 12-5; 3-8)

Trabaja sin descuidar tus estudios

Estabilidad

Desarrollo profesional

Crecimiento



INTERESADOS ENVIAR CURRICULUM VITAE A: lic.cordova_rh@hotmail.com  DIRIGIDO A  LIC. MARITZA CORDOVA Y ESPERAR RESPUESTA.

",Media Jornada,Indefinido,Cuauhtemoc,Preparatoria,Indiferente,"Situación de estudios: estudiantes, pasantes, truncos.

Sexo indistinto

UNICAMENTE DE 17 A 35 AÑOS

Importante:

Carácter amable

Persona sociable, sepa trabajar en equipo

Buena presentación",,Desactivo,Pagado,Nivel usuario,,8000.0,Matched (3),0,0,0,1,[657]
388,526097.0,-10,2010-01-24,1.0,0.0,2.0,2010-04-24 00:00:00,90,0,Analista de Comunicaciones Internas,Recursos Humanos,Agrícola / Ganadera,"VTR, requiere incorporar a su Gerencia de Atención de Clientes, Analista de Comunicaciones Internas.

El objetivo general del cargo es diseñar, planificar y gestionar los contenidos y medios de comunicación que apoyan la gestión y clima de los equipos que conforman la Gerencia.

Las objetivos específicos del cargo son:

- Levantamiento constante de las necesidades comunicacionales de la Gerencia. 
- Diseño, planificación y gestión de campañas y medios. 
- Coordinación e implementación de campañas corporativas, y medición de estas acciones.
- Actualizar y entregar información operativa a los equipos en forma oportuna y efectiva siendo capaz de adecuar el tono y forma del discurso según cada segmento. 
- Conocer la estructura de uso de los distintos medios internos y elaborar contenidos relacionados con materias del área.
- Diseñar e implementar estrategias de comunicación desde los medios internos, gestionando las autorizaciones necesarias para la edición de los cotenidos en los distintos medios.
- Llevar control de la línea editorial de los medios en forma integral en todo lo referente a la Gerencia.
- Aportar ideas creativas para la consecución de los objetivos comunicacionales de las distintas campañas.
- Llevar a cabo las entrevistas y la redacción de temáticas internas.

Buscamos profesionales altamente dinámicos, flexibles y adaptable a los cambios; creativos e innovadores.

Te invitamos a ser parte de una de las diez mejores Empresas para trabajar en Chile y a disfrutar de excelentes beneficios y clima laboral.

Te esperamos!

",Jornada Completa,Indefinido,Santiago,Universitaria,Graduado,"Profesional titulado de la carrera de Periodismo.
Experiencia de tres años en áreas de Servicio al Cliente, en contacto con primeras líneas.
Manejo comprobable de Office intermedio avanzado (manejo de base de datos y tablas dinámicas) e idealmente manejo de photoshop.
",[Periodismo] - ,Desactivo,,Nivel usuario avanzado,,650000.0,Matched (3),0,0,1,0,"[254, 280]"
390,526114.0,592525,2010-01-25,2.0,0.0,2.0,2010-01-31 00:00:00,6,0,ANALISTA FUNCIONAL SSR,Computación e Informática,Seguros / Previsión,"Para Entidad Bancaria, seleccionaremos a Analista Funcional Semi-Senior de Sistemas, Procesos, Calidad, Planeamiento y Diseños de Procedimientos en general de las distintas líneas de Productos Activos y Pasivos. Elaboración de manuales de procedimiento. Relevamiento de tiempo de trabajo y productividad. Estamos orientados hacia postulantes que tenga experiencia preferentemente en estudios de primera línea especializados en el desarrollo de esta temática (Excluyente). Con formación Universitaria o estudiantes del último año (excluyente). Edad hasta 35 años",Jornada Completa,Efectivo,Capital Federal,Universitario,Próximo a graduarse,Experiencia como analista funcional de productos bancarios,[Ingeniería en Computación] - ,Desactivo,Gratuito,Nivel profesional,,6000.0,Matched (3),0,0,1,0,"[90, 358, 456, 503, 727, 747, 766, 801, 827, 878, 893]"
