,aviso,classification
3268,"Secretaria Administrativa Realizar labores de secretaria para la pastoral del Campus Lo Contador, las que implican tareas administrativas y religiosas.
Encargarse de los temas pastorales en el Campus Lo Contador, tanto en la oficina de la Pastoral como en las misas que se realizan.
 Jornada Completa Estudios de Secretariado y/o Asistente Ejecutivo.
Competencias Computacionales: Word, Excel a nivel intermedio, Power Point a nivel básico, bases de datos a nivel intermedio.
Idealmente interés en temas y actividades pastorales.
Competencias: responsabilidad, orientación al cliente, iniciativa, organización, confidencialidad, trabajo en equipo, adecuadas habilidades sociales. Se requiere una persona con actitud de servicio, acogedora y buen trato.
 Comuna de Providencia",Not WFH
3281,"Administrativo de Tesorería La Serena Empresa de retail necesita contratar para su área de tesorería en la tienda de La Serena  a Administrativo de Tesorería . Jornada Completa -Estudios de Contablidad
-Experiencia al menos un año como contador, cajero , administrativo en areas de tesorería
-Computación: nivel usuario
-Disponibilidad para trabajar en horario mall, 5x2


Se ofrece renta de mercado, asignaciones y beneficios La Serena",Not WFH
3283,"OPERADOR DE RUTA, QUILICURA Importante empresa está en búsqueda de profesionales con orientación al logro, comprometidos y con capacidad de trabajar en equipo para el cargo de Operador de ruta.<br />REQUISITOS<br />De 2 a 3 años en:<br />• Excel<br />• Conocimientos en procesos logísticos <br />FUNCIONES<br />• Realizar el ruteo de los vendedores por zona. <br />• Importar y exportar datos<br />• Generar los respectivos reportes en Excel<br />BENEFICIOS<br />• Casino<br />• Radio taxi<br />OFRECEMOS<br />Cto. Plazo fijo y luego Indefinido, según desempeño, de Lunes  a  Sábados de 18:00 a 2:00 am, comuna de Quilicura (debido a la contingencia se está trabajando vía remoto) Teletrabajo De 2 a 3 años en:<br />• Excel<br />• Conocimientos en procesos logísticos ",WFH
3285,"Product Owner #SomosDTS, una empresa tecnológica que tiene la convicción de trabajar para dar solución a problemáticas de servicio al cliente con un producto tanto físico como digital basado en las últimas tecnologías. <br />Buscamos que el servicio y la atención de los clientes sea de calidad, y que puedan realizar diversas transacciones de manera simple, rápida, amigable e innovadora.<br /><br />Por eso queremos sumar un/a Product Owner con experiencia en gestión de producto, a nuestro equipo de Producto.<br /><br />Vas a tener el desafío de..<br />• Ser la voz del cliente dentro de la compañía.<br />• Anticipar, analizar y alinear las necesidades del producto con los objetivos estratégicos de la compañía.<br />• Definir los KPI’s del producto y alinearlos con los KPI’s de negocio. <br />• Consensuar y definir, con los principales interesados de negocio, el roadmap de producto. <br />• Definir, detallar y priorizar el backlog de objetivos alineados al roadmap.<br />• Determinar el criterio, basado en datos, para medir el éxito de cada iniciativa priorizada e implementada.<br />• Administrar e iterar el backlog de objetivos.<br />• Asegurar el cumplimiento de los objetivos establecidos.<br />• Evaluar los resultados del producto mediante análisis cualitativos-cuantitativos de las funcionalidades productivas. <br />• Establecer y garantizar los canales de comunicación que permitan informar y alinear a los distintos interesados del producto.<br /><br />Requerimientos<br />Para tomar este rol necesitamos que cuentes con...<br />• De 2 a 5 años de experiencia como Product Owner / Product Manager.<br />• Experiencia en gestión de productos y tecnologías de software con visión data-driven.<br />• Fuerte orientación a resultados.<br />• Profundo conocimiento en metodologías ágiles.<br />• Excelentes habilidades analíticas, comunicación y negociación. Teletrabajo • De 2 a 5 años de experiencia como Product Owner / Product Manager.<br />• Experiencia en gestión de productos y tecnologías de software con visión data-driven.<br />• Profundo conocimiento en metodologías ágiles. ",WFH
3286,"Asesores de tienda jornada parcial Parque Arauco Te consideras alguien con estilo? O alternativo?, te gustan las nuevas tendencias además de vitriniar en las tiendas y consideras tener habilidades para asesorar a los demás en su manera de vestir?. Tienes mucha energía y ganas de trabajar? Entonces definitivamente te estamos buscando a ti.<br /><br />Buscamos gente con disponibilidad en jornada parcial, no importa si tienes tatuajes, el pelo de color, barba, un corte de pelo alternativo, todos tienen la misma posibilidad de pertenecer a este equipo, porque nos gusta la diversidad.<br /><br />Una importante tienda retail está en la búsqueda de asesores de compras, sobre los distintos productos, personas orientadas al trabajo en equipo y brindar un excelente servicio a nuestros clientes:<br /><br />LUGAR DE TRABAJO: Parque Arauco.<br /><br />FUNCIONES<br />• Orden, exhibición y reposición de Productos en la tienda<br />• Asesorar al cliente en la compra de productos, cada vez que lo requiera.<br />• Coordinación y atención de clientes en probadores.<br />• Apoyar en área de calzado, buscando el producto en las bodegas respectivas además de realizar la entrega hacia el cliente. <br /><br />Horario:<br />• Jornada Parcial: Turnos rotativos de lunes a viernes desde las 13:00 a 21.15 hrs. con un día libre.<br /><br />Requisitos:<br />• De 18 años en adelante<br />• Disponibilidad para trabajar en el horario antes mencionado<br />• Enseñanza media completa<br /><br />RENTA LIQUIDA OFRECIDA APROX: 159.000 + BONO MENSUAL ASEGURADO DE 17.000 Media Jornada • De 18 años en adelante<br />• Disponibilidad para trabajar en el horario antes mencionado<br />• Enseñanza media completa Parque Arauco",Not WFH
3287,Ejecutivo Venta Seguros Call Center / Teletrabajo Importante empresa del rubro Financiero requiere incorporar Ejecutivos de Ventas de Seguro(Call Center) por campaña a través de teletrabajo.<br /><br />Objetivos principales: <br /><br />-Venta de seguros<br /><br />-Atender consultas<br /><br />Requisitos:<br /><br />- Experiencia en seguros de vida y salud.<br /><br />Jornada:<br /><br />Turno 1 Lunes a Viernes 13.00hrs A 19.00hrs <br /><br />Turno 2 Lunes a Viernes 09.00hrs A 15.00hrs Teletrabajo Requisitos:<br />- Experiencia en seguros de vida y salud. ,WFH
3290,"APS Consultant  Responsabilities

Supports clients in identifying, analyzing, and resolving simple problems with business communication systems. May provide remote or on-site post-sales support of routine to moderately complex software, remote diagnostic capabilities, systems, sub-systems and/or applications for customers or field personnel. May include supporting 3rd party products and occasional on-site support. Goals and objectives are assigned by an immediate supervisor. Work performed depends on others for instruction, guidance, and direction. Deals with routine to moderately complex problems or issues.
Develop integrations between Avaya products and customer systems.

Avaya products installation and configuration

 Jornada Completa Qualifications

Development experience: 4 years

English level: upper intermediate

Mandatory knowledge and experience in: SQL, VB, .NET or JAVA

Desirable knowledge of  

Ø        Programming languages :VBScript, Javascript, HTML, XML, Web Services

Ø        Data Base: MS SQL Server, Oracle
Mandatory knowledge of OS :Windows, Linux,  (Instalation and configuration)
Desirable knowledge and experience in networks and telephony

 
 Oficinas de Avaya",Not WFH
3291,"Ejecutivo Comercial – Venta Outsourcing <br>Estamos en búsqueda de Ejecutivo Comercial, para nuestro cliente Consultora TI.</br><br><strong>Objetivo:</strong> Generar oportunidades de negocio con potenciales clientes que requieran servicios transitorios del área TI.</br><br><strong>Funciones:</strong></br><ul><li><br>Prospectar clientes, generando oportunidades de negocios para Servicios Outsourcing.</br></li><li><br>Fidelización y mantención de cartera de clientes</br></li><li><br>Identificación de oportunidades comerciales.</br></li><li><br>Coordinar, gestionar y planificar reuniones con clientes.</br></li><li><br>Negociación y cierre de ventas.</br></li></ul><br> <strong>Condiciones:</strong></br><ul><li><br>Modalidad: Hibrida (3 días presencial – 2 días remoto)</br></li><li><br>Horario: Lunes a Viernes (Horario oficina)</br></li><li><br>Lugar: Las Condes</br></li><li><br>Contrato: Plazo fijo, luego indefinido</br></li></ul> Mixta (Teletrabajo + Presencial) <ul><li><p>2 años de experiencia en el cargo</p></li><li><p>Experiencia en Negocios TI Outsourcing y Servicios Transitorios</p></li><li><p>Contar con Cartera de Clientes (empresas)</p></li></ul> Región Metropolitana, Chile",WFH
3294,"Bodeguero/a Full Time Preunic La Florida En Empresas SB – Preunic nos encontramos en búsqueda de Bodegueros/as para trabajar en nuestra tienda de La Florida. La misión de este cargo será encargarse del orden, mantención y reposición de la sala y bodega del local, con el fin de facilitar la labor de ventas al mantener el stock de productos en sala y cuidar de la seguridad de los clientes al interior del local.<br /><br />Requisitos:<br /><br />• Disponibilidad para trabajar Full Time en turnos rotativos (lunes a domingo 5x2 y 6x1). Contrato plazo fijo.<br />• Disponibilidad para hacer turnos diurnos y nocturnos.<br /><br />Nuestra empresa fomenta e impulsa el valor de un equipo de trabajo diverso que acepta el sello propio de cada colaborador, facilitando así ambientes laborales inclusivos (Ley 21.015).<br />Si estas interesado, no dudes en postular con nosotros y ¡sé parte de esta gran Empresa! Jornada Completa • Disponibilidad para trabajar Full Time en turnos rotativos (lunes a domingo 5x2 y 6x1) Contrato plazo fijo.<br />• Disponibilidad para hacer turnos diurnos y nocturnos. ",Not WFH
3297,"Práctica Analista de comunicaciones Internas En Blue Express, empresa líder en Distribución y Logística, estamos buscando Practicante de Publicidad o Periodismo para apoyar al equipo de Comunicaciones Internas, si eres creativo y te apasiona comunicar, ¡No te pierdas esta gran oportunidad de desarrollarte con nosotros!. <br /><br />El trabajo es modalidad mixta (presencial y home office), Jornada completa (45h semanales) y además es remunerado.<br /><br />Tus principales desafíos serán:<br /><br />- Redactar y enviar comunicados a la organización.<br />- Actualizar medios con cápsulas de información.<br />- Dar apoyo en los principales eventos de la compañía, con el objetivo de generar visibilidad en medios de comunicación internos y externos.<br />- Contacto permanente con diferentes áreas de la compañía para levantamiento de información.<br />- Será un plus si manejas programas de diseño.<br /><br />Beneficios:<br />- Contamos con Buses de acercamiento <br />- Estacionamiento<br />- Almuerzo <br /><br />Tenemos escritorios independientes, desinfectantes y amplios espacios para que puedas desarrollarte con tranquilidad. Teletrabajo Practicante de Publicidad o Periodismo Enea",WFH
3306,"Asistente Administrativo de Proyectos Bilingüe – Segunda región ($1.500.000) <br><span style=""font-size:16px"">Somos People Go, empresa al Servicio de las Personas, siempre comprometidos con la Diversidad &amp; Inclusión en sus infinitas formas, personalidades, culturas, etnias, origen, identidad, religión, edad, gustos y capacidades.</span></br><br><span style=""font-size:16px"">Reconocida empresa requiere Asistente Administrativo de Proyectos Bilingüe, para desempeñarse en la II región en planta, ubicada a 3 horas de Antofagasta.</span></br><br><span style=""font-size:16px""><strong>Principales Funciones:</strong></span></br><br><span style=""font-size:16px"">Ejecutar funciones administrativas varias y de logística </span></br><br><span style=""font-size:16px""><strong>Requisitos:</strong></span></br><br><span style=""font-size:16px"">Formación educación técnica superior</span></br><br><span style=""font-size:16px"">Manejo de inglés bilingüe (excluyente)</span></br><br><span style=""font-size:16px"">Poseer experiencia en puesto similar en empresa internacional</span></br><br><span style=""font-size:16px"">Poseer experiencia en logística y labores administrativas</span></br><br><span style=""font-size:16px"">Disponibilidad para trabajar en campamento durante 3 semanas y 2 semanas de trabajo remoto</span></br><br><span style=""font-size:16px"">Licencia de conducir clase B</span></br><br><span style=""font-size:16px""><strong>Condiciones Laborales:</strong></span></br><br><span style=""font-size:16px"">Contrato de trabajo bajo Art. N° 22</span></br><br><span style=""font-size:16px"">Contrato es directo con la empresa </span></br> Jornada Completa <p> <span style=""font-size:16px""><strong>Requisitos:</strong></span></p><p><span style=""font-size:16px"">Formación educación técnica superior</span></p><p><span style=""font-size:16px"">Manejo de inglés bilingüe (excluyente)</span></p><p><span style=""font-size:16px"">Poseer experiencia en puesto similar en empresa internacional</span></p><p><span style=""font-size:16px"">Poseer experiencia en logística y labores administrativas</span></p><p><span style=""font-size:16px"">Disponibilidad para trabajar en campamento durante 3 semanas y 2 semanas de trabajo remoto</span></p><p><span style=""font-size:16px"">Licencia de conducir clase B</span></p> Antofagasta, Chile",WFH
3327,"Técnico de Soporte NOC Jr-Redes y telecomunicaciones <br><span style=""font-size:16px""><strong>More digital. More human. More Minsait.</strong></span></br><br><span style=""font-size:16px"">En Minsait creemos en un futuro digital más humano; por eso, ofrecemos proyectos tecnológicos que transforman los negocios y nos permiten crecer como profesionales desde una cultura inspiradora y flexible.</span></br><br><span style=""font-size:16px"">Buscamos <strong>Técnico de Soporte NOC Sr-Redes y telecomunicaciones</strong>, con experiencia en gestión de proyectos de gran escala, con ganas de trabajar en nuestros equipos multidisciplinares. Si te apasionan los proyectos retadores y quieres generar impacto social, sostenible y tangible, ¡sigue leyendo!</span></br><br><span style=""font-size:16px""><strong>En Minsait, crecer y transformar es posible. ¿Te unes al reto?</strong></span></br><br><span style=""font-size:16px"">·         Te desarrollarás en proyectos a gran escala</span></br><br><span style=""font-size:16px"">·         Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital.</span></br><br><span style=""font-size:16px"">·         Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor.</span></br><br><span style=""font-size:16px"">·         Colaborarás con referentes tecnológicos del sector que serán tu inspiración y en los que te reflejarás para seguir creciendo profesionalmente.</span></br><br><span style=""font-size:16px""><strong>¿Qué esperamos por tu parte?</strong></span></br><br><span style=""font-size:16px"">·         Técnicos de sistemas, informática, telecomunicaciones o afín.</span></br><br><span style=""font-size:16px"">·         Experiencia de 6 meses - 1 año en soporte NOC, soporte de redes y telecomunicaciones.</span></br><br><span style=""font-size:16px"">·         Gestión de Calidad Integral, cumplimiento de los estándares operacionales establecidos.</span></br><br><span style=""font-size:16px"">·         Generar reportes de Pre-Diagnóstico a través de plataformas sistémicas que logren discriminar el potencial problema en el domicilio del cliente para luego entregárselo al técnico en terreno como apoyo.</span></br><br><span style=""font-size:16px"">·         Apoyo remoto y en sitio para la resolución de incidentes.</span></br><br><span style=""font-size:16px"">·         <strong>Disponibilidad para Trabajar en modalidad presencial en Santiago, Chile</strong></span></br><br><span style=""font-size:16px""><strong>Sé parte de un futuro más humano. Motivos por los que te encantará ser un #Minsaiter:</strong></span></br><br><span style=""font-size:16px"">·         <strong>Compañía Top Employer</strong> con más de 45.000 profesionales y con acceso a proyectos retadores.</span></br><br><span style=""font-size:16px"">·         <strong>Conciliación y equilibrio: </strong>Trabajo presencial, Santiago, Chile</span></br><br><span style=""font-size:16px"">·         <strong>Carrera profesional y formación continua </strong>adaptada a tus necesidades y motivaciones.</span></br><br><span style=""font-size:16px"">·         <strong>Contrato Indefinido y retribución competitiva</strong></span></br><br><span style=""font-size:16px"">·         <strong>Cultura empática, humana y flexible</strong></span></br><br><span style=""font-size:16px"">·         <strong>Beneficios corporativos: </strong>Seguro complementario de salud, tarjeta sodexo, descuentos en gimnasios Energy</span></br><br><span style=""font-size:16px""><strong>Minsait, technology for a more human future!</strong></span></br><br><span style=""font-size:16px""><em>Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.</em></span></br><br><strong><em>En Indra creemos en un lugar de trabajo inclusivo, en el que las diferencias de las personas son respetadas, valoradas y atendidas para que todos nuestros colaboradores puedan desarrollar plenamente sus talentos. Es por esto que trabajamos en base al marco de la Ley 21.015, la cual promueve la inclusión laboral de personas en situación de discapacidad en igualdad de condiciones.</em></strong></br> Jornada Completa <p><span style=""font-size:16px""><strong>¿Qué esperamos por tu parte?</strong></span></p><p><span style=""font-size:16px"">·         Técnicos de sistemas, informática, telecomunicaciones o afín.</span></p><p><span style=""font-size:16px"">·         Experiencia de 6 meses - 1 año en soporte NOC, soporte de redes y telecomunicaciones.</span></p><p><span style=""font-size:16px"">·         Gestión de Calidad Integral, cumplimiento de los estándares operacionales establecidos.</span></p><p><span style=""font-size:16px"">·         Generar reportes de Pre-Diagnóstico a través de plataformas sistémicas que logren discriminar el potencial problema en el domicilio del cliente para luego entregárselo al técnico en terreno como apoyo.</span></p><p><span style=""font-size:16px"">·         Apoyo remoto y en sitio para la resolución de incidentes.</span></p><p><span style=""font-size:16px"">·         <strong>Disponibilidad para Trabajar en modalidad presencial en Santiago, Chile</strong></span></p> Santiago, Chile",Not WFH
3349,"Tesorero Antofagasta Importante empresa requiere Tesorero Zonal, encargado de auditar nuestra sucursal de Antofagasta, el postulante debe tener conocimientos en contabilidad, administración y excel avanzado.
Experiencia en cargos similares en Tesorería.
 Jornada Completa Requiere experiencia en trabajos similares Antofagasta",Not WFH
3350,"Servicio a Personas-Pudahuel Importante cadena supermercadista, necesita incorporara a su gerencia de Recursos Humanos a Servicio a personas, quien será la encargada de “Implementar las políticas definidas por la Gerencia de RRHH en relación a la mantención, desarrollo y control de todos los temas relacionados con los colaboradores internos del CD, dando cumplimiento a las normas legales y reglamento interno de la compañía”.

Lugar de trabajo en la comuna de Pudahuel, jornada laboral de L-V en horario de oficina.

Orientamos nuestra búsqueda a personas comprometidas con el trabajo y con excelente atención a los colaboradores, con estudios universitarios o técnico profesionales del área de RRHH, con experiencia mínima de 1 años en el área.

Indispensable conocimientos en legislación laboral, remuneraciones, manejo de equipos, Excel. 
Beneficios: 
Almuerzo en casino de Centro de Distribución.
Estabilidad Laboral
Oportunidades de crecimiento laboral. 
 Jornada Completa con Experiencia y estudios en el area RRHH Pudahuel",Not WFH
3354,"Contador NECESITO UN ALUMNO ( A ) EN PRACTICA SE CANCELARAN $ 80.000 LÍQUIDOS 
PARA TRABAJAR EN UNA CONSTRUCTORA 
UBICACIÓN REÑACA CENTRO.
 Jornada Completa QUE DESEE HACER SU PRACTICA PROFESIONAL
BUENA DISPONIBILIDAD 
Y QUE SEPA TRABAJAR EN GRUPO  REÑACA",Not WFH
3360,"Supervisor Área Perforación - Faena II Región <br>Importante empresa se encuentra en búsqueda de <strong>Supervisor</strong> para desarrollar sus funciones en faena ubicada en la II Región.</br><br> </br><br><strong>Propósito del cargo</strong></br><br> </br><br>Responsable de la coordinación técnica y ejecución de la planificación de las</br><br>tareas de perforación, habilitación, desarrollo y pruebas de bombeo de los</br><br>pozos de agua correspondientes al periodo de su turno. Facilitar y asegurar la</br><br>coordinación de los recursos para la ejecución de las tareas. Administración del</br><br>personal a su cargo. Asegurar la retroalimentación con el administrador y</br><br>gerente de operaciones. Asegurar el cumplimiento de los estándares de</br><br>seguridad.</br><br></br><br><strong>Condiciones</strong></br><br>-Turno: 10x10</br><br>-Renta: acorde al mercado</br><br>-Lugar: Faena Tranque Talabre</br><br></br> En terreno <p>- Formación académica Ingeniero en Ejecución, Educación Media Técnica Completa.</p><p>- Experiencia mínima de <strong>5 años en cargos de supervisión</strong>.</p><p>-<strong>Manejo, dominio y conocimiento en Perforación, Mantención de Pozos.</strong></p><p>-<strong>Licencia B</strong></p> ",Not WFH
3367,"REPRESENTANTE DE VENTAS ELECTRÓGENO - ZONA SUR (X, XI, XII) Importante empresa con presencia nacional busca ejecutivo o representante comercial, para desempeñarse en labores de venta de arriendo de equipos eletrógenos, para la zona sur del país (X, XI y XII región). Entre sus funciones se encuentran mantener la cartera de clientes, realizar visitas a terreno, ampliar la red de clientes y realizar el seguimiento a las distintas acciones de ventas. Se ofrece pertenecer a una empresa en constante crecimiento, estable y con altas proyecciones. Jornada Completa técnico profesional: técnico en construcción, técnico industrial, o carrera similar
experiencia en empresas de ingeniería, electrógenos o maquinarias
experiencia en el área comercial
disposición para trabajar en terreno en la zona sur
Residencia en Puerto Mont Puerto Mont",Not WFH
3371,"Mayordomo-Administrador Descripción del cargo:
-Administración de la casa del Sr. Embajador, la mantención y dirección del personal a su cargo.
-Organización de actividades de representación, tales como, almuerzos, cenas, cócteles o recepciones. 
-Compras de comidas y licores.
-Control de stock de vinos, comidas, material de limpieza, ropa de cama y mantelería.
-Organización para el funcionamiento diario de la casa.
-Velar por el buen funcionamiento de la casa en términos de los servicios eléctricos, gasfitería, etc. Como de los equipos y maquinaria (lavadora, aspiradores, etc).

Calificaciones requeridas del postulante:
-Administrador hotelero titulado o afín.
-Conocimientos de protocolo
-Conocimiento de idiomas extranjeros de preferencia portugués.
-Experiencia mínima de 5 años
-Conocimientos informáticos a nivel usuario para compras, planificación, control, abastecimientos y procesos contables.
 Jornada Completa -Administrador hotelero titulado o afín.
-Experiencia mínima de 5 años
-Conocimientos informáticos a nivel usuario para compras, planificación, control, abastecimientos y procesos contables. Santiago",Not WFH
3372,"REPONEDOR PARA REEMPLAZO VITACURA                                                                    Importante marca de Lácteos está en búsqueda de Marcaderista/Reponedor(a) jornada de 45 horas semanales para el sector de VITACURA, inicialmente cobertura por reemplazos.
 Horarios: Lunes a  Sabado Turnos AM y PM (08:00 a 15:00 y 15:00 a 20:00) 6 días por semana  Funciones a cumplir:
 - Reposición que incluyen tareas de bodegaje
 - Retiro de productos y el orden de la zona asignada
 - Mantener las superficies limpias y secas
 - Respetar alturas de almacenamiento.
 - Mantener el orden y exhibición  de los productos  Requisitos:
 -Manejo en el ciclo de reposicion
 -Idealmente con experiencia mínima de 6 - 8 meses en reposición (no excluyente).
 -Disposición al aprendizaje
 -Pro actividad 
 -DISPONIBILIDAD INMEDIATA  Renta liquida aprox: 360.000 (Proporcional a los días trabajados)  Jornada Completa 6 MESES DE REPOSICIÓN EN LACTEOS SANTIAGO",Not WFH
3376,"Analista de Gestión de RRHH Misión del Cargo:<br /><br />Recoger y estudiar la información relacionada con trabajos de los colaboradores, problemáticas y costos que afectan a la empresa, para realizar análisis de los datos que otorguen información que ayuda a la toma de decisiones. Apoyar en todos los requerimientos que surjan en la empresa en relación a la gestión de RRHH. <br /><br />Algunas Funciones:<br /><br />Dar respuesta a los requerimientos que surjan en relación a la gestión de RRHH<br /><br />Realizar Informes de indicadores de Gestión de Recursos Humanos<br /><br />Reporte de dotación total de la empresa, junto con rentas nominales y del libro de remuneraciones<br /><br />Análisis de remuneraciones del personal, según equidad interna y rentas de mercado<br /><br />Completar encuestas de remuneraciones para consultoras externas e INE<br /><br />Cálculo y análisis de bonos para trabajadores<br /><br />Reclutamiento y selección<br /><br />Contratación y finiquitos de trabajadores en Chile Jornada Completa Deberá tener al menos 2 años de experiencia como Analista de Recursos Humanos, idealmente en empresas productivas.<br /><br />Idealmente Ingeniero Comercial, pudiendo ser también profesional de carrera afín. Ciudad Empresarial",Not WFH
3377,"VENDEDORES FULL TIME ARICA Estamos buscando personas motivadas y que quieran ganar mucho dinero!!<br /><br /><br />20 CUPOS DISPONIBLES<br /><br />Se Ofrece<br />• Sueldo Base $320.000 + comisión = $700.000 Liquido<br />• No existe tope de comisiones<br />• Estabilidad Laboral<br /><br />*Trabajo sectorizado <br /><br />Horario: Lun a Sab (Tu planificas tu propio horario)<br /><br />Requisitos<br />• Experiencia mínima 6 meses en venta en terreno mismo cargo (telecomunicaciones, intangibles, alarmas, etc.) (Excluyente)<br />• Disponibilidad inmediata Jornada Completa Tener experiencia en ventas en terreno mínimo 6 meses Arica",Not WFH
3381,"gerente marketing se necesita gerente retail,sera el encargado de la marca en las diferentes multitiendas,debe tener disponibilidad para viajar dentro de Chile. Jornada Completa 2 anos de experiencia santiago",Not WFH
3385,"Jefe de Ventas- Destacada Multinacional- Calama Descripción
Destacada empresa multinacional del rubro de alarmas, líder en Europa y en plena expansión en Chile, busca al mejor Jefe Comercial para Calama.

Será responsable de cumplir con los objetivos de ventas definidos para los equipos de venta bajo su dependencia.

Buscamos líderes comerciales capaces de:
- Identificar oportunidades de negocio y crear las herramientas necesarias para satisfacerlas.
- Conseguir los objetivos comerciales asignados, tanto en lo cuantitativo como cualitativo.
- Compromiso previo adquirido y ganas de superación.

Será responsable de cumplir los objetivos comerciales definidos para su delegación, generación de información relevante para la organización y como del manejo administrativo de la misma.

REQUISITOS:
- Al menos 10 años de experiencia en ventas.
- Contar con experiencia superior a un año como Supervisor/Jefe de Ventas.
- Deseable experiencia en ventas en Retail, Seguros, Comunicaciones, AFP, Isapres.
 Jornada Completa - Al menos 10 años de experiencia en ventas.
- Contar con experiencia superior a un año como Supervisor/Jefe de Ventas.
- Deseable experiencia en ventas en Retail, Seguros, Comunicaciones, AFP, Isapres. Calama",Not WFH
3387,"Pedidor Arancelario Empresa Líder en el rubro aduanero, necesita para su oficina en Santiago, requiere contratar Pedidor Arancelario con más de 5 años de experiencia.

REQUISITOS Indispensables:
5 Años de experiencia en el cargo.
Manejo Profesional de Técnicas Aduaneras
Conocimientos en Clasificación Arancelaria, Ordenanza de Aduanas, Valoración Arancelaria, Interpretación de Normas Aduaneras y Resolución de Controversias.
Nivel de Educación Superior o Técnico

Interesados enviar CV a seleccion@jiroconsultores.cl, indicando aspiraciones de renta para el cargo.
 Jornada Completa 
5 Años de experiencia en el cargo.
Manejo Profesional de Técnicas Aduaneras
Conocimientos en Clasificación Arancelaria, Ordenanza de Aduanas, Valoración Arancelaria, Interpretación de Normas Aduaneras y Resolución de Controversias.
Nivel de Educación Superior o Técnico
 Santiago",Not WFH
3388,"Práctica Logística <br>Logística La Frontera necesita estudiante en práctica, <span style=""font-size:16px"">nuestras bodegas están ubicadas en Padre Las Casas.</span></br><br><span style=""font-size:16px"">Durante su práctica  podrá experimentar procesos de CrossDocking, recepcion, almacenamiento, picking, despacho, inventario, planificación, etc. </span></br><br><span style=""font-size:16px"">Se evaluará continuidad laboral de acuerdo al desempeño de su práctica.</span></br> Práctica <p><span style=""font-size:16px"">Buscamos a alguien que tenga capacidades de aprendizaje, buenas relaciones interpersonales e idealmente que tenga caracter para liderar un equipo de trabajo.</span></p> Padre las Casas, Padre Las Casas, Chile",WFH
3390,Practica Profesional Administracion Practica profesional area administracion empresa construccion vial Práctica Profesional Trabajo de lunes a viernes de 8:15 a 18:15 Hrs. Concon,Not WFH
3391,"Coordinador Deportivo - Centro del Deporte Importante clínica de la zona oriente de Santiago requiere incorporar a su Centro del Deporte a un(a) Coordinador(a) Deportivo, quien será responsable de implementar, coordinar  y supervisar las actividades necesarias para lograr un óptimo funcionamiento del centro, de acuerdo a los procedimientos y políticas establecidas, con el objetivo de entregar una atención integral, eficiente y de calidad a los deportistas que lo visiten.<br /><br />Nuestra búsqueda se orienta a profesionales con título de Kinesiología o carrera afín, que cuenten con 3 a 5 años de experiencia en gestión clínica o labores afines a las mencionadas para el cargo, que tengan disponibilidad para trabajar en la zona oriente de Santiago. Jornada Completa - Título de Kinesiología o carrera afin <br />- 3 a 5 años de experiencia laboral<br />- Lo Barnechea",Not WFH
3395,"VENDEDORES(AS) Nuestra empresa, lider en en su rubro, busca para su área comercial VENDEDORES(AS) con experiencia en la comercialización de tangibles (artículos de consumo masivo)
Orientamos la búsqueda a personas con iniciativa, buenas relaciones comerciales, proactiva y orientada al cumplimiento de metas.
Se requiere experiencia de al menos 3 años en cargos similares y contar con movilización propia. Jornada Completa experiencia de al menos 3 años en cargos similares
movilización propia
iniciativa, proactividad
orientada al logro de objetivos comerciales
 Quilicura",Not WFH
3396,"Ingeniero Mecánico Industrial Importante Industria Maderera requiere contratar un Ingeniero Mecánico Industrial, para trabajar en el área de Mantención (Jefe de área). Debe tener conocimientos en planificación, implementación de sistemas de mantención, técnicas de mantención preventiva. Además, dentro de sus competencias debe ser orientado a la tarea y los objetivos, capacidad para trabajar y liderar equipos de personas y ser tolerante al trabajo bajo presión.
Indicar pretenciones de renta. Jornada Completa Disponibilidad de turnos Lautaro",Not WFH
3398,"Encargado(a) de Local (San Antonio) Importante empresa en expansión dedicada a la venta de calzado necesita contratar a Encargado(a) de Local, quien será responsable de dirigir un equipo de vendedores, mantener el orden y coordinar la reposición diaria de productos.

Ofrecemos estabilidad laboral, oportunidades de desarrollo, grato ambiente y renta acorde al mercado.
 
 Jornada Completa - Disponibilidad para trabajar en horario de mall.
- 3 años de experiencia en ventas.
- Manejo computacional.
- Estudios técnicos (deseable).
 San Antonio",Not WFH
