,id,classifier_id,ad_id,classification,ease,workday,timestamp,estado
3294,,22,3115184.0,Not WFH,easy,full,,1.0
3297,,38,4136855.0,Not WFH,easy,full,2024-08-01 02:48:28.51142,1.0
3303,,50,5538354.0,Not WFH,easy,full,,1.0
3323,,34,4094561.0,Not WFH,easy,full,,1.0
3330,,35,850566.0,Not WFH,easy,full,,1.0
3331,,11,1113088.0,WFH,easy,part,,1.0
3338,,35,3839460.0,Not WFH,easy,part,,1.0
3340,,11,4249241.0,WFH,easy,part,,1.0
3343,,11,4059241.0,Not WFH,easy,full,,1.0
3353,,26,4126622.0,Not WFH,easy,not clear,2024-07-16 00:09:30.487911,1.0
3360,,25,1869006.0,Not WFH,medium,part,,1.0
3368,,46,3903532.0,WFH,medium,full,,1.0
3372,,14,5106677.0,WFH,easy,not clear,,1.0
3380,,8,3117251.0,Not WFH,medium,full,,1.0
3388,,50,5479749.0,Not WFH,easy,full,,1.0
3398,,8,2192156.0,Not WFH,medium,not clear,,1.0
3399,,8,3927157.0,WFH,easy,full,,1.0
3401,,11,4154875.0,Not WFH,easy,full,,1.0
3405,,34,470242.0,Not WFH,easy,part,,1.0
3410,,46,3788921.0,WFH,hard,not clear,,1.0
3412,,27,3000366.0,Not WFH,medium,not clear,,1.0
3419,,23,1981104.0,Not WFH,medium,full,,1.0
3422,,33,5650140.0,WFH,medium,full,,1.0
3438,,44,5396011.0,Not WFH,easy,not clear,,1.0
3455,,34,5462429.0,Not WFH,hard,full,,1.0
3460,,8,660184.0,Not WFH,medium,part,,1.0
3466,,11,5290204.0,WFH,easy,not clear,,1.0
3474,,38,5616056.0,WFH,easy,not clear,2024-07-17 02:58:13.88165,1.0
3475,,13,996338.0,Not WFH,medium,full,,1.0
3482,,8,4041683.0,WFH,easy,full,,1.0
3511,,47,4568311.0,Not WFH,easy,full,,1.0
3513,,11,4560190.0,WFH,easy,not clear,,1.0
3516,,11,4119158.0,WFH,hard,full,,1.0
3531,,27,5263129.0,WFH,easy,not clear,,1.0
3538,,8,4041700.0,WFH,easy,not clear,,1.0
3542,,23,3953477.0,Not WFH,easy,full,,1.0
3560,,11,5226731.0,Not WFH,easy,full,,1.0
3563,,17,4171350.0,Not WFH,medium,full,,1.0
3589,,14,4015124.0,Not WFH,medium,full,,1.0
3590,,11,5079243.0,WFH,easy,full,,1.0
3604,,37,3868914.0,Not WFH,easy,full,,1.0
3615,,11,2082303.0,Not WFH,easy,part,,1.0
3621,,11,3607505.0,Not WFH,easy,full,,1.0
3623,,8,2361137.0,Not WFH,medium,part,,1.0
3633,,8,882342.0,WFH,medium,part,,1.0
3645,,22,4070506.0,WFH,easy,not clear,,1.0
3650,,34,1718300.0,Not WFH,easy,full,,1.0
3655,,31,3178673.0,Not WFH,medium,full,,1.0
3658,,11,3114161.0,WFH,hard,part,,1.0
3661,,24,3962226.0,Not WFH,easy,part,,1.0
3667,,11,5455302.0,WFH,easy,full,,1.0
3690,,21,4085742.0,WFH,medium,full,,1.0
3699,,34,4155264.0,Not WFH,easy,full,,1.0
3700,,30,4335523.0,WFH,easy,not clear,,1.0
3705,,11,3194658.0,Not WFH,easy,full,,1.0
3713,,43,5212771.0,Not WFH,easy,full,,1.0
3726,,11,5131718.0,Not WFH,easy,full,,1.0
3732,,8,3162617.0,Not WFH,easy,full,,1.0
3769,,8,458296.0,Not WFH,medium,full,,1.0
3774,,29,3591646.0,Not WFH,easy,full,,1.0
3775,,35,4056456.0,WFH,medium,not clear,,1.0
3778,,44,4006771.0,Not WFH,easy,not clear,,1.0
3814,,34,3932204.0,Not WFH,easy,full,,1.0
3824,,32,3129195.0,Not WFH,easy,full,,1.0
3826,,8,4107541.0,Not WFH,easy,full,,1.0
3832,,22,5083270.0,Not WFH,medium,full,,1.0
3834,,29,3880935.0,Not WFH,easy,full,,1.0
3845,,15,4351655.0,WFH,easy,full,2024-07-17 03:07:58.142047,1.0
3846,,11,5283644.0,WFH,easy,not clear,,1.0
3848,,8,4079137.0,Not WFH,easy,part,,1.0
3884,,8,725552.0,Not WFH,easy,full,,1.0
3886,,13,327399.0,Not WFH,easy,full,,1.0
3900,,8,3209921.0,Not WFH,easy,full,,1.0
3901,,9,3874687.0,Not WFH,easy,full,,1.0
3903,,8,383094.0,Not WFH,easy,full,,1.0
3910,,36,5010796.0,WFH,easy,full,,1.0
3934,,37,2604849.0,WFH,easy,part,,1.0
3941,,11,4121086.0,WFH,easy,not clear,,1.0
3947,,11,2066480.0,Not WFH,easy,full,,1.0
3955,,8,4086483.0,WFH,easy,not clear,,1.0
3959,,8,3914163.0,Not WFH,medium,full,,1.0
3972,,28,4075342.0,Not WFH,easy,full,,1.0
3977,,3,5547786.0,WFH,easy,full,,1.0
3979,,30,4291952.0,WFH,easy,full,,1.0
3984,,29,3313626.0,Not WFH,easy,full,,1.0
3986,,8,1254920.0,Not WFH,easy,part,,1.0
3987,,43,5115274.0,Not WFH,easy,full,,1.0
3993,,27,4051173.0,Not WFH,easy,full,,1.0
3996,,34,4080151.0,WFH,easy,full,,1.0
3998,,7,184656.0,Not WFH,easy,not clear,,1.0
4005,,37,5473189.0,Not WFH,medium,not clear,,1.0
4044,,34,5296155.0,WFH,medium,not clear,,1.0
4048,,32,5218859.0,Not WFH,medium,full,,1.0
4050,,36,3933862.0,Not WFH,easy,full,,1.0
4053,,23,3028636.0,WFH,easy,not clear,,1.0
4057,,28,4210364.0,Not WFH,easy,full,,1.0
4064,,34,4443003.0,WFH,easy,part,,1.0
4078,,11,4049115.0,WFH,easy,full,,1.0
4080,,8,3976065.0,Not WFH,medium,full,,1.0
4084,,34,4078590.0,WFH,easy,not clear,,1.0
4086,,34,5496580.0,WFH,easy,full,,1.0
4092,,43,3407370.0,Not WFH,easy,full,,1.0
4104,,36,630308.0,Not WFH,easy,full,,1.0
4117,,8,4097082.0,Not WFH,easy,full,,1.0
4120,,49,5281890.0,Not WFH,medium,full,2024-07-17 19:18:46.544961,1.0
4126,,46,3838292.0,Not WFH,easy,full,,1.0
4127,,8,4090858.0,WFH,easy,full,,1.0
4135,,35,5653266.0,Not WFH,easy,full,,1.0
4144,,48,5150096.0,WFH,easy,part,,1.0
4149,,34,2996848.0,Not WFH,easy,full,,1.0
4158,,52,5286927.0,Not WFH,medium,full,2024-08-01 04:25:24.682252,1.0
4173,,34,4100124.0,Not WFH,easy,full,,1.0
4180,,32,5607696.0,Not WFH,easy,full,,1.0
4202,,31,5124791.0,Not WFH,easy,full,,1.0
4212,,11,1355288.0,Not WFH,easy,full,,1.0
4222,,36,4107880.0,WFH,medium,not clear,,1.0
4226,,8,3213763.0,Not WFH,medium,part,,1.0
4227,,52,5095244.0,WFH,hard,not clear,2024-07-15 23:46:36.801324,1.0
4230,,13,5280899.0,Not WFH,easy,full,,1.0
4233,,15,5321533.0,Not WFH,easy,full,2024-07-16 20:01:10.195433,1.0
4237,,8,3842180.0,Not WFH,medium,full,,1.0
4253,,8,3078753.0,Not WFH,medium,full,,1.0
4263,,8,3825040.0,WFH,easy,full,,1.0
4280,,8,4102305.0,Not WFH,medium,full,,1.0
4288,,11,5568665.0,WFH,easy,full,,1.0
4302,,8,2267196.0,Not WFH,easy,part,,1.0
4311,,11,5320450.0,Not WFH,easy,full,,1.0
4342,,11,3880251.0,Not WFH,easy,full,,1.0
4360,,47,4120076.0,Not WFH,easy,full,,1.0
4363,,34,4093901.0,Not WFH,medium,full,,1.0
4367,,13,5398267.0,WFH,easy,not clear,,1.0
4372,,8,4027910.0,Not WFH,easy,not clear,,1.0
4376,,8,2547947.0,Not WFH,easy,full,,1.0
4378,,25,526423.0,Not WFH,easy,full,,1.0
4379,,37,1530822.0,Not WFH,easy,part,,1.0
4403,,11,2504570.0,Not WFH,easy,full,,1.0
4410,,8,3868090.0,Not WFH,easy,full,,1.0
4413,,52,5521457.0,Not WFH,medium,not clear,2024-08-14 19:02:28.904793,1.0
4416,,17,410307.0,Not WFH,medium,full,,1.0
4422,,44,4090780.0,Not WFH,easy,full,,1.0
4434,,8,4099614.0,WFH,easy,full,,1.0
4456,,30,4120515.0,WFH,easy,full,,1.0
4463,,11,3319229.0,Not WFH,easy,full,,1.0
4469,,11,4102048.0,Not WFH,medium,not clear,,1.0
4473,,17,4122601.0,Not WFH,easy,full,,1.0
4484,,11,5159639.0,Not WFH,easy,full,,1.0
4492,,34,2730258.0,WFH,easy,full,,1.0
4499,,8,3938635.0,Not WFH,easy,part,,1.0
4514,,43,4075247.0,Not WFH,easy,full,,1.0
4519,,52,5536330.0,WFH,easy,not clear,2024-07-15 23:10:25.80904,1.0
4534,,2,5642806.0,WFH,easy,full,2024-07-25 05:56:20.855099,1.0
4541,,34,4152564.0,WFH,easy,not clear,,1.0
4553,,3,4150217.0,Not WFH,easy,full,,1.0
4554,,8,3940512.0,Not WFH,easy,full,,1.0
4560,,11,1660551.0,Not WFH,easy,part,,1.0
4562,,27,2271837.0,Not WFH,medium,part,,1.0
4566,,8,2598561.0,Not WFH,easy,part,,1.0
4568,,11,4155716.0,WFH,easy,full,,1.0
4596,,15,5604768.0,WFH,easy,not clear,2024-07-22 03:15:44.676166,1.0
4607,,11,3848490.0,Not WFH,easy,full,,1.0
4613,,30,4056026.0,WFH,easy,full,,1.0
4615,,25,826448.0,Not WFH,easy,full,,1.0
4619,,8,3850314.0,Not WFH,easy,full,,1.0
4626,,11,5366587.0,WFH,easy,not clear,,1.0
4631,,39,5347190.0,WFH,medium,not clear,,1.0
4634,,2,5350235.0,WFH,easy,full,2024-07-24 05:00:20.861995,1.0
4665,,38,4152098.0,WFH,medium,not clear,2024-07-17 21:40:28.548058,1.0
4675,,50,5413737.0,Not WFH,easy,full,,1.0
4700,,34,5196206.0,WFH,easy,part,,1.0
4710,,34,4102043.0,Not WFH,easy,part,,1.0
4721,,11,5550015.0,WFH,easy,full,,1.0
4754,,2,5321983.0,WFH,medium,not clear,2024-07-25 05:20:38.446842,1.0
4759,,34,3981603.0,Not WFH,easy,full,,1.0
4767,,8,2977606.0,Not WFH,easy,full,,1.0
4775,,34,4220753.0,WFH,easy,full,,1.0
4776,,11,3855174.0,Not WFH,medium,full,,1.0
4778,,11,3958924.0,Not WFH,medium,full,,1.0
4794,,11,2295608.0,Not WFH,easy,full,,1.0
4815,,35,2647806.0,Not WFH,easy,part,,1.0
4823,,35,4145444.0,WFH,medium,full,,1.0
4833,,34,500103.0,Not WFH,easy,part,,1.0
4844,,11,3453216.0,Not WFH,easy,not clear,,1.0
4858,,32,4100766.0,WFH,medium,part,,1.0
4862,,48,4111931.0,WFH,easy,not clear,,1.0
4875,,34,305768.0,Not WFH,easy,full,,1.0
4879,,52,5341149.0,Not WFH,medium,full,2024-07-15 23:53:33.788029,1.0
4882,,15,5621351.0,WFH,easy,part,2024-08-01 02:24:22.984669,1.0
4890,,13,2237664.0,Not WFH,easy,full,,1.0
4892,,26,4339020.0,WFH,easy,part,2024-08-14 22:35:05.615635,1.0
4893,,19,5338564.0,Not WFH,easy,full,,1.0
4900,,14,2147267.0,Not WFH,medium,full,,1.0
4902,,2,5483865.0,Not WFH,easy,full,2024-08-01 02:59:00.327599,1.0
4923,,20,2184233.0,Not WFH,easy,full,,1.0
4944,,8,3847121.0,Not WFH,easy,full,,1.0
4951,,11,4064061.0,WFH,easy,part,,1.0
4956,,8,1577371.0,Not WFH,easy,full,,1.0
4967,,39,4323019.0,WFH,easy,full,,1.0
4974,,29,4618381.0,Not WFH,easy,full,,1.0
4986,,15,4201728.0,WFH,easy,full,2024-07-17 20:15:14.679429,1.0
4992,,34,4114411.0,Not WFH,easy,not clear,,1.0
4998,,8,3899045.0,Not WFH,easy,full,,1.0
5015,,11,3913069.0,Not WFH,easy,part,,1.0
5019,,11,3626695.0,Not WFH,easy,part,,1.0
5020,,38,5650788.0,Not WFH,easy,full,2024-08-14 17:40:29.099078,1.0
5023,,11,2325150.0,Not WFH,medium,part,,1.0
5035,,11,4431730.0,Not WFH,easy,full,,1.0
5037,,37,1101217.0,Not WFH,easy,full,,1.0
5041,,13,4088144.0,WFH,easy,full,,1.0
5049,,17,1238884.0,Not WFH,easy,not clear,,1.0
5054,,34,1472418.0,Not WFH,easy,part,,1.0
5066,,39,1903676.0,Not WFH,easy,full,,1.0
5068,,11,3961687.0,Not WFH,easy,full,,1.0
5095,,34,5644928.0,WFH,medium,full,,1.0
5132,,34,4107866.0,Not WFH,medium,full,,1.0
5145,,15,4145159.0,WFH,easy,not clear,2024-07-15 23:36:07.323257,1.0
5163,,34,3424188.0,Not WFH,easy,full,,1.0
5164,,8,4082802.0,WFH,easy,full,,1.0
5181,,8,882364.0,WFH,easy,part,,1.0
5188,,8,2352835.0,Not WFH,easy,full,,1.0
5192,,37,4065785.0,Not WFH,easy,full,,1.0
5199,,20,3921896.0,Not WFH,easy,full,,1.0
5202,,20,4377638.0,Not WFH,easy,full,,1.0
5218,,44,3831385.0,Not WFH,easy,not clear,,1.0
5225,,29,4315526.0,WFH,medium,full,,1.0
5233,,8,4071312.0,WFH,easy,part,,1.0
5239,,28,1995844.0,WFH,easy,full,,1.0
5247,,8,2161564.0,WFH,hard,full,,1.0
5254,,13,5596312.0,WFH,medium,full,,1.0
5258,,34,4488655.0,WFH,easy,not clear,,1.0
5265,,20,3541556.0,WFH,easy,full,,1.0
5267,,11,4114016.0,Not WFH,easy,full,,1.0
5273,,43,4100899.0,Not WFH,easy,not clear,,1.0
5278,,8,1939982.0,Not WFH,easy,part,,1.0
5281,,11,460507.0,Not WFH,easy,full,,1.0
5292,,11,5266146.0,Not WFH,medium,full,,1.0
5322,,26,5296112.0,WFH,medium,not clear,2024-07-16 00:13:19.421068,1.0
5336,,52,4580219.0,WFH,easy,not clear,2024-07-17 00:47:48.832663,1.0
5338,,38,4127039.0,Not WFH,easy,full,2024-07-18 02:37:06.338394,1.0
5341,,34,3053403.0,WFH,easy,not clear,,1.0
5346,,34,3184814.0,Not WFH,hard,full,,1.0
5347,,8,3155962.0,Not WFH,easy,full,,1.0
5354,,34,3993724.0,WFH,medium,full,,1.0
5385,,34,4096279.0,WFH,easy,part,,1.0
5388,,8,603231.0,WFH,hard,full,,1.0
5395,,41,4057008.0,Not WFH,medium,full,,1.0
5396,,36,5373861.0,Not WFH,easy,full,,1.0
5400,,39,4098668.0,Not WFH,easy,full,,1.0
5401,,26,4111771.0,Not WFH,easy,full,2024-07-16 00:18:47.498551,1.0
5403,,39,364692.0,Not WFH,easy,full,,1.0
5408,,21,5531797.0,WFH,medium,not clear,,1.0
5414,,48,4224110.0,WFH,easy,not clear,,1.0
5422,,11,4081717.0,WFH,easy,full,,1.0
5425,,50,5261665.0,WFH,easy,full,,1.0
5441,,17,4144674.0,Not WFH,medium,full,,1.0
5442,,8,3894726.0,Not WFH,medium,not clear,,1.0
5443,,45,1111735.0,WFH,easy,part,,1.0
5450,,8,2413690.0,Not WFH,easy,full,,1.0
5453,,25,5463960.0,WFH,easy,part,,1.0
5456,,11,5161695.0,Not WFH,easy,full,,1.0
5468,,29,5411899.0,WFH,easy,not clear,,1.0
5469,,13,3902588.0,Not WFH,easy,full,,1.0
5485,,34,2471828.0,Not WFH,easy,full,,1.0
5497,,11,5597426.0,WFH,easy,part,,1.0
5500,,44,4507315.0,Not WFH,easy,full,,1.0
5504,,15,5545922.0,Not WFH,easy,full,2024-07-16 00:08:56.440189,1.0
5508,,11,4103217.0,WFH,medium,full,,1.0
5510,,15,5480622.0,Not WFH,medium,not clear,2024-07-22 03:18:58.260427,1.0
5530,,19,1951608.0,Not WFH,easy,part,,1.0
5534,,19,340925.0,Not WFH,medium,full,,1.0
5543,,11,481246.0,Not WFH,easy,full,,1.0
5557,,11,5200830.0,WFH,easy,not clear,,1.0
5558,,34,5350168.0,Not WFH,easy,full,,1.0
5565,,15,5402918.0,Not WFH,easy,full,2024-07-17 02:53:10.036052,1.0
5568,,28,3867740.0,Not WFH,easy,full,,1.0
5576,,37,4116740.0,Not WFH,medium,full,,1.0
5579,,11,3969019.0,Not WFH,easy,full,,1.0
5581,,46,4132795.0,WFH,easy,not clear,,1.0
5583,,46,4106663.0,WFH,easy,not clear,,1.0
5590,,34,5172970.0,WFH,easy,not clear,,1.0
5598,,34,5401517.0,Not WFH,easy,full,,1.0
5602,,11,3119195.0,Not WFH,easy,part,,1.0
5630,,20,1636777.0,Not WFH,easy,full,,1.0
5631,,41,4051213.0,Not WFH,easy,full,,1.0
5639,,50,4096679.0,Not WFH,easy,full,,1.0
5656,,15,5005534.0,Not WFH,easy,full,2024-08-07 19:31:22.280223,1.0
5662,,46,4343597.0,Not WFH,easy,full,,1.0
5670,,11,3846020.0,Not WFH,easy,part,,1.0
5683,,34,5103493.0,WFH,easy,not clear,,1.0
5688,,34,5602680.0,WFH,easy,not clear,,1.0
5692,,34,3513672.0,Not WFH,easy,full,,1.0
5696,,34,3991193.0,Not WFH,easy,full,,1.0
5697,,27,3819916.0,Not WFH,easy,full,,1.0
5712,,23,4137632.0,Not WFH,medium,full,,1.0
5723,,36,419254.0,Not WFH,medium,full,,1.0
5724,,33,718237.0,Not WFH,medium,part,,1.0
5736,,11,5594366.0,WFH,easy,part,,1.0
5739,,9,4570769.0,WFH,easy,not clear,,1.0
5743,,9,3977054.0,Not WFH,easy,full,,1.0
5753,,11,5610502.0,Not WFH,easy,part,,1.0
5755,,32,4342126.0,Not WFH,hard,full,,1.0
5777,,34,2976169.0,Not WFH,medium,full,,1.0
5778,,8,3905133.0,Not WFH,easy,full,,1.0
5792,,38,4137434.0,Not WFH,easy,full,2024-08-14 12:54:57.491106,1.0
5801,,8,4080425.0,Not WFH,easy,full,,1.0
5810,,46,5087188.0,Not WFH,easy,full,,1.0
5826,,43,4104783.0,WFH,easy,full,,1.0
5827,,8,3915173.0,Not WFH,easy,full,,1.0
5833,,34,4198792.0,WFH,easy,full,,1.0
5845,,34,384267.0,Not WFH,easy,full,,1.0
5848,,29,4109799.0,Not WFH,easy,full,,1.0
5850,,2,5562327.0,WFH,easy,not clear,2024-07-25 05:41:09.234624,1.0
5853,,23,4078642.0,WFH,easy,full,,1.0
5854,,11,4056033.0,WFH,easy,part,,1.0
5867,,8,4066809.0,Not WFH,hard,full,,1.0
5873,,7,201306.0,Not WFH,easy,full,,1.0
5876,,11,3885835.0,Not WFH,hard,full,,1.0
5877,,21,5144364.0,Not WFH,easy,full,,1.0
5878,,34,4073342.0,WFH,easy,full,,1.0
5882,,19,4127073.0,Not WFH,easy,not clear,,1.0
5892,,28,1564420.0,Not WFH,easy,part,,1.0
5900,,9,4119347.0,WFH,easy,full,,1.0
5905,,30,5008239.0,WFH,easy,not clear,,1.0
5915,,11,3361066.0,Not WFH,easy,part,,1.0
5917,,34,4075491.0,WFH,easy,not clear,,1.0
5929,,29,5133839.0,Not WFH,medium,full,,1.0
5949,,25,3896367.0,Not WFH,easy,full,,1.0
5956,,48,5405450.0,WFH,easy,full,,1.0
5964,,8,3138822.0,Not WFH,easy,full,,1.0
5970,,19,1835257.0,Not WFH,easy,part,,1.0
5984,,27,4065153.0,WFH,easy,full,,1.0
5987,,11,3945043.0,Not WFH,easy,full,,1.0
5993,,44,3890223.0,Not WFH,medium,full,,1.0
6000,,34,3613655.0,Not WFH,medium,full,,1.0
6020,,34,2936302.0,Not WFH,easy,full,,1.0
6032,,34,2378784.0,Not WFH,easy,full,,1.0
6033,,8,3852751.0,Not WFH,easy,full,,1.0
6047,,8,1811568.0,WFH,easy,part,,1.0
6056,,19,4374100.0,Not WFH,easy,full,,1.0
6072,,9,477763.0,Not WFH,easy,part,,1.0
6085,,34,5650556.0,Not WFH,hard,full,,1.0
6091,,20,5221822.0,Not WFH,easy,full,,1.0
6099,,8,3211335.0,Not WFH,easy,full,,1.0
6101,,11,5404862.0,WFH,easy,not clear,,1.0
6103,,34,4135224.0,WFH,hard,not clear,,1.0
6104,,11,2970648.0,WFH,easy,part,,1.0
6105,,11,803097.0,WFH,easy,full,,1.0
6111,,22,3858988.0,Not WFH,easy,full,,1.0
6119,,28,1954028.0,Not WFH,medium,part,,1.0
6122,,8,581471.0,Not WFH,medium,full,,1.0
6126,,20,4028329.0,Not WFH,easy,full,,1.0
6134,,48,4320968.0,WFH,easy,not clear,,1.0
6137,,11,3731932.0,Not WFH,easy,full,,1.0
6142,,28,4131439.0,Not WFH,easy,full,,1.0
6147,,34,4153995.0,Not WFH,easy,full,,1.0
6151,,44,5521321.0,Not WFH,medium,full,,1.0
6152,,8,362051.0,Not WFH,easy,full,,1.0
6155,,39,5573114.0,WFH,easy,not clear,,1.0
6156,,47,629428.0,Not WFH,easy,part,,1.0
6160,,8,3499524.0,Not WFH,easy,full,,1.0
6165,,31,1890395.0,Not WFH,easy,full,,1.0
6166,,8,4067463.0,WFH,easy,full,,1.0
6170,,46,5227372.0,Not WFH,easy,part,,1.0
6171,,22,5291173.0,Not WFH,easy,full,,1.0
6173,,8,3872258.0,Not WFH,easy,full,,1.0
6175,,11,4138034.0,WFH,easy,not clear,,1.0
6177,,8,2025093.0,Not WFH,easy,not clear,,1.0
6179,,17,877438.0,Not WFH,easy,full,,1.0
6184,,8,3863421.0,WFH,easy,not clear,,1.0
6202,,41,3140493.0,Not WFH,medium,part,,1.0
6213,,36,4104471.0,WFH,easy,full,,1.0
6218,,34,3116694.0,WFH,easy,not clear,,1.0
6228,,8,2243087.0,Not WFH,easy,full,,1.0
6240,,3,5330124.0,Not WFH,medium,full,,1.0
6241,,43,4091330.0,Not WFH,easy,full,,1.0
6244,,22,3910114.0,Not WFH,easy,full,,1.0
6245,,52,5054201.0,Not WFH,medium,not clear,2024-08-14 22:02:33.110992,1.0
6249,,8,2889067.0,Not WFH,easy,not clear,,1.0
6283,,8,626066.0,Not WFH,easy,full,,1.0
6285,,8,4080459.0,WFH,easy,not clear,,1.0
6315,,27,4126658.0,Not WFH,easy,full,,1.0
6316,,34,3545255.0,Not WFH,easy,full,,1.0
6323,,26,4133253.0,WFH,easy,not clear,2024-08-14 22:12:01.983588,1.0
6325,,8,4072955.0,Not WFH,easy,full,,1.0
6329,,48,4109397.0,WFH,medium,full,,1.0
6335,,38,4166379.0,Not WFH,easy,full,2024-07-23 06:13:46.791046,1.0
6336,,34,5609361.0,Not WFH,medium,full,,1.0
6352,,11,1853578.0,Not WFH,easy,full,,1.0
6353,,34,3954301.0,Not WFH,medium,not clear,,1.0
6355,,17,5210479.0,WFH,medium,not clear,,1.0
6360,,34,2910355.0,Not WFH,easy,full,,1.0
6361,,13,5433225.0,Not WFH,easy,full,,1.0
6374,,30,5473989.0,WFH,easy,full,,1.0
6375,,15,5462833.0,WFH,easy,not clear,2024-08-14 16:49:55.047607,1.0
6393,,39,4022192.0,Not WFH,medium,full,,1.0
6413,,17,4053661.0,Not WFH,medium,part,,1.0
6414,,8,3870701.0,Not WFH,medium,full,,1.0
6422,,11,1770558.0,WFH,easy,part,,1.0
6429,,20,5228060.0,WFH,easy,not clear,,1.0
6435,,14,2109247.0,Not WFH,easy,full,,1.0
6445,,45,3849479.0,Not WFH,easy,full,,1.0
6447,,48,5233073.0,Not WFH,easy,full,,1.0
6455,,43,3580050.0,WFH,easy,part,,1.0
6464,,32,5133894.0,WFH,easy,not clear,,1.0
6494,,34,5551953.0,WFH,easy,not clear,,1.0
6501,,24,424285.0,Not WFH,medium,part,,1.0
6518,,11,3933487.0,Not WFH,easy,full,,1.0
6521,,36,5430550.0,WFH,easy,not clear,,1.0
6523,,11,4155122.0,WFH,easy,full,,1.0
6524,,11,4075061.0,Not WFH,easy,full,,1.0
6526,,34,4123358.0,Not WFH,easy,full,,1.0
6531,,20,4090149.0,Not WFH,easy,part,,1.0
6540,,22,4283307.0,WFH,easy,not clear,,1.0
6547,,21,4539982.0,WFH,medium,full,,1.0
6551,,8,4051023.0,Not WFH,easy,part,,1.0
6563,,37,4185439.0,WFH,easy,not clear,,1.0
6574,,13,4197384.0,Not WFH,easy,full,,1.0
6580,,8,1273495.0,WFH,easy,full,,1.0
6590,,52,5596368.0,WFH,easy,full,2024-08-14 22:24:10.743959,1.0
6607,,43,4097944.0,Not WFH,medium,full,,1.0
6609,,11,2583604.0,Not WFH,easy,full,,1.0
6619,,20,4083629.0,Not WFH,easy,full,,1.0
6648,,34,5666758.0,Not WFH,easy,full,,1.0
6650,,11,3885036.0,Not WFH,easy,full,,1.0
6652,,34,4060501.0,Not WFH,medium,not clear,,1.0
6665,,25,4126049.0,WFH,easy,not clear,,1.0
6676,,34,1121603.0,Not WFH,medium,full,,1.0
6687,,27,3929750.0,Not WFH,easy,full,,1.0
6689,,11,4654899.0,WFH,easy,not clear,,1.0
6690,,30,4078904.0,Not WFH,hard,full,,1.0
6698,,31,3789097.0,WFH,easy,full,,1.0
6717,,36,3971400.0,Not WFH,easy,full,,1.0
6723,,8,3340610.0,Not WFH,medium,not clear,,1.0
6731,,8,2875192.0,Not WFH,easy,part,,1.0
6743,,33,4153669.0,WFH,easy,not clear,,1.0
6745,,34,4118925.0,WFH,easy,not clear,,1.0
6753,,34,1969134.0,Not WFH,easy,full,,1.0
6761,,11,1820678.0,WFH,easy,part,,1.0
6773,,37,4605819.0,WFH,easy,not clear,,1.0
6782,,9,4112940.0,WFH,easy,full,,1.0
6787,,11,4630063.0,WFH,easy,full,,1.0
6790,,50,3967424.0,Not WFH,easy,full,,1.0
6800,,34,5665146.0,Not WFH,easy,full,,1.0
6805,,11,4108169.0,Not WFH,medium,part,,1.0
6823,,8,4065712.0,Not WFH,easy,not clear,,1.0
6833,,8,3896841.0,Not WFH,easy,part,,1.0
6843,,8,3869687.0,Not WFH,easy,not clear,,1.0
6844,,49,5514889.0,WFH,medium,not clear,2024-07-18 23:42:57.574711,1.0
6847,,34,5453231.0,Not WFH,hard,not clear,,1.0
6855,,8,4097594.0,Not WFH,easy,full,,1.0
6876,,8,4087269.0,WFH,easy,not clear,,1.0
6877,,19,2508497.0,Not WFH,easy,full,,1.0
6889,,11,3843808.0,Not WFH,easy,full,,1.0
6904,,34,4154368.0,WFH,easy,full,,1.0
6906,,31,4406839.0,WFH,medium,part,,1.0
6909,,49,5397980.0,Not WFH,easy,not clear,2024-07-18 03:29:58.808225,1.0
6918,,22,900157.0,Not WFH,easy,full,,1.0
6924,,34,5034225.0,Not WFH,easy,full,,1.0
6929,,11,4184103.0,Not WFH,easy,not clear,,1.0
6931,,30,440283.0,Not WFH,easy,full,,1.0
6951,,17,3885106.0,Not WFH,easy,not clear,,1.0
6956,,46,5387872.0,Not WFH,easy,full,,1.0
6980,,11,3724465.0,Not WFH,medium,full,,1.0
6982,,34,4049081.0,WFH,easy,not clear,,1.0
6987,,3,4652185.0,Not WFH,easy,full,,1.0
6992,,34,3851020.0,Not WFH,easy,full,,1.0
6998,,35,4076622.0,Not WFH,easy,full,,1.0
7000,,8,2290281.0,Not WFH,medium,full,,1.0
7019,,30,4122162.0,WFH,easy,not clear,,1.0
7020,,32,3108509.0,Not WFH,easy,part,,1.0
7021,,8,3937615.0,Not WFH,easy,full,,1.0
7030,,8,3462965.0,Not WFH,easy,full,,1.0
7036,,13,5296825.0,Not WFH,easy,full,,1.0
7039,,34,4125375.0,Not WFH,hard,part,,1.0
7040,,8,565539.0,WFH,easy,full,,1.0
7046,,34,5193890.0,Not WFH,easy,full,,1.0
7047,,26,4115704.0,Not WFH,easy,full,2024-07-22 03:19:37.821052,1.0
7053,,32,4143345.0,WFH,easy,not clear,,1.0
7058,,8,2776981.0,Not WFH,easy,full,,1.0
7060,,15,4564078.0,WFH,easy,full,2024-07-15 23:54:37.196723,1.0
7062,,3,4127102.0,Not WFH,easy,full,,1.0
7070,,34,5210460.0,WFH,easy,not clear,,1.0
7081,,20,3767283.0,Not WFH,medium,not clear,,1.0
